Author,Comment,Likes,Published At
@user-rd8yw8eg2z,어떻게저런사랑의연기를할수잇지..난귀찬고정신적소모가커서라도못함 종교를둔갑한삥뜯기..뻔하면서신박하네 미xx 헌금치고너무만이주는거아님?<br>남편도호구네. 저년도뿌린대로거두길.<br>꼭벌받을지어다<br>종교에빠진사람치고 정상적인사람못봣다.ㅋ,0,2024-09-12T21:28:19Z
@minaoh9416,아내분이 깨달음 이 있다면<br>이혼만이 답은 아닌듯 합니다 <br>이제라도 진심으로 남편과 아이를 위해 헌신하며 사세요😢,0,2024-09-12T13:14:48Z
@j.han91,실화...,0,2024-09-12T12:51:59Z
@j.han91,교도소 동기한테 물들었네.... 참...,0,2024-09-12T12:40:49Z
@j.han91,한달에 200? 헐....,0,2024-09-12T12:40:06Z
@user-qv4pi4br3o,영화찍냐?,0,2024-09-12T05:52:16Z
@user-qv4pi4br3o,남편 참<br>헌신적이다.<br>차라리 헤어져라.서로<br>원수다.,0,2024-09-12T05:51:08Z
@user-qv4pi4br3o,그래도 이년이 복이 있네.,0,2024-09-12T05:50:21Z
@user-qv4pi4br3o,기가찬다.<br>물고물고 쇠사슬 먹이  잘하네,0,2024-09-12T05:49:48Z
@user-qv4pi4br3o,기독교도 더러워요.,0,2024-09-12T05:30:46Z
@user-qv4pi4br3o,신천지 사이비. 전광훈사이비 <br>여러 사이비종교.<br>특히 기독교 단체들이<br>거의 사이비단체들이다.,0,2024-09-12T05:14:10Z
@user-qv4pi4br3o,저 친구가<br>좋은 친구네,0,2024-09-12T05:04:48Z
@먀망,와 빵에서 한달에 200쓸일이 뭐가있눙,0,2024-09-12T03:42:37Z
@user-ni8dw7we5d,저것 소설이다,0,2024-09-12T02:03:41Z
@김성철-v4g,지무덤 지가파네,0,2024-09-11T12:44:23Z
@user-so5nq9of7f,십일조도 많다 걍 형편껏 하는게 맞는듯,0,2024-09-11T10:51:26Z
@user-ch6kn6my2b,남편분호구내,0,2024-09-11T05:11:18Z
