Author,Comment,Likes,Published At
@user-kc4lw3ko5j,박대통령 누드 합성사진을 제작해서 귝회에서 전시회까지 연 당시  국민의 대표인 국회의원이셨던 표창원씨는 딥페이크의 선구자이고 시조같은 샣각이 드는데 여전히 위대한 일을 했다고 자랑스러우신가요? 덥울 듣고 싶으네요.,2,2024-09-07T08:25:16Z
@화이드-j9c,표인창원 보기싫다 보이지마라 국회내 박근혜 전대통령 알몸사진 이런자는 사회매장 해야한다 악마악마 대대로 악이끝이지지 않을것이다 저주할것이다,1,2024-09-07T08:10:04Z
@user-kp1cf2zj1d,강강약약. 정직함 좋네요<br>표교수님 집안에서나 밖에서나 비슷하네요,0,2024-09-07T01:03:53Z
@hyeonsookkim527,나는 표창원씨의 팬 이었다<br>국회에서  박근혜 대통령 패라디 그림을 본후 표정원을 사람같이 안봤다<br>난 그때 그걸 범죄로 봤다<br>그러고 나와서 티비에 나오는걸 본후<br>뭔가?했다 범죄를 다루는 사람이...,2,2024-09-06T01:48:27Z
@chanel2800,예전에 영화 명량 시사회 때 표창원님 강연후 아들이랑 같이 내 근처 자리에서 영화 보는거 봤는데 그땐 아들이 어렸는데 어느새 성인이 되었네요. <br>아들과 대화 하는거 보니 자상한 아빠구나 했었답니다,1,2024-09-03T11:35:17Z
@user-zo1io4tw4f,여성대통령을 누드로 만든 인간말종,2,2024-09-03T11:22:01Z
@user-hb9sf1kp8d,저런 사람이왜자꾸 티비 나오는지 속이 다 매스꺼운데요 닭살돋아요 제발 티비에 나오지 말았음 좋겠네,4,2024-09-03T07:49:29Z
@kjc6530,저사람이 방송에 나오는것을보면 화가 치밀어온다 여자보기를 우습세 보는놈,5,2024-09-03T07:37:59Z
@kjc6530,아들은 잘생겼네,1,2024-09-03T07:37:03Z
@user-sc5zi8wd6g,사드 반대 가발 쓰고 선동질 했던 녀석을 사과 없이 방송 출연시키는 채널 A.,4,2024-09-03T07:26:09Z
@ninjakorea,Breakfast +lunch=Brunch,0,2024-09-03T07:23:22Z
@user-qe9cs4pn4j,잘생겼어,2,2024-09-03T03:16:36Z
@user-qe9cs4pn4j,"아들,훈남,ㅎㅎㅎ",3,2024-09-03T03:16:03Z
@user-wu5uq9di2q,표창원씨 4인용식탁에 나오니 넘반갑네요 아들도 아빠 닮아서 잘생겼네요 표창원씨는 진짜 브레인 ㆍ입에서 나오는 말이 너무 지적임,5,2024-09-03T01:18:40Z
@user-nu8xg1he7k,아버지 젊었을때 판박이네요,3,2024-09-02T22:27:43Z
@user-to9ps1gm2h,요즘 문제가 심각한 딥 페이크에 대해 할 말이 없으신 지 표창원씨,9,2024-09-02T12:41:31Z
