Author,Comment,Likes,Published At
@user-xf6ij4dv1l,왜 이런말이 있잖아요.남자의 진심은 모든걸 다 가질때 드러나고 여자의 본심은  남자가 모든걸 잃고 아무것도 없을때 드러난다고요. 초반에 고생많이 하고 곁에서 도와준 와이프 성공하고 헌신짝 버리듯 하는 사람도 많은데 대호가 진짜 바른 사람이네.,0,2024-09-10T02:24:28Z
@user-kr8hp3ki8c,성공한 스포츠스타의 아나운서 아내들과 비슷하다고 생각했는데  ㅎ 대호의 다른모습을 봤네. 행복하게 변함없는 사랑  멋지네요,0,2024-09-01T23:40:22Z
@user-vt5ji4gy4d,"무명이라고 하기엔 좀 아니지않나 그리따지면 1,2지명 아닌선수들은 죄다 무명보다 아래인건가 ㅎㅎ 이미 고딩때부터 이대호 추신수 청소년 다 대표아니엏음,? ㅋㅋ",0,2024-08-30T11:07:20Z
@user-wg5go1rp8f,성공한 남성 옆에는 항상 훌륭한 아내가 있다. &quot;남자는 남자를 성장시키고 여자는 남자를 완성시킨다.&quot;,0,2024-08-29T04:35:51Z
@user-re4qm3ql1c,이대호 와이프 ㅇㅈ.,0,2024-08-28T05:32:51Z
@이사조-w6j,끼리끼리만난다는 말이 진짜맞다. 선남선녀,0,2024-08-26T13:14:37Z
@cgs0365,크게되는 사람은 인성이 뒷받침이 되기때문이다.,0,2024-08-26T03:56:20Z
@water1083,천사 다,0,2024-08-26T03:08:21Z
@l9금-야뎡-볼사람-m8p,너무 와이프분 천사다..,15,2024-08-24T19:05:07Z
@RosaKim73,"대호씨, 색시 이쁘다 평생 잘 살아요!!❤❤❤❤❤❤",0,2024-08-24T11:05:13Z
@user-fc7yc8pp6e,잘잡았네<br>와이프 이대호 잡았으니<br>복이다,0,2024-08-21T11:55:19Z
@Marshanw,나균안 쳤는데 왜 이게 나오냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2024-08-16T18:23:27Z
@그만쫌-p2p,자존감도 높고 사랑이 많은분이네요 와이프가 아무리 잘해도 태생이 모난성격인 사람은 본인이 잘되면 아내를 무시하고 지잘났다고 아내를 지나가는 개보다 못하게 대하는경우 간혹 밨는데 아내분이 남자를 잘고른듯  이기 남자지 ㅎㅎ 항상 행복하세요^^,0,2024-08-16T06:51:27Z
@용준박-n1m,다른 야구 선수들은 엄청 욕먹는데 이대우 선수는 악플이 없네요. 잘 몰랐었는데 참 진실된 사람이었군요. 모든 사람들이 이대 오우 씨 같았으면 좋겠습니다. ❤,0,2024-08-13T11:07:00Z
@Earth-Peace-5G,잘해준 와이프도 좋은사람이고 이대호씨도 은혜에 보답하는 좋은 사람인듯.. 자기 잘난맛에 배신하는 사람도 많는데,2,2024-08-10T05:30:47Z
@user-gq7my2wg5k,🎉🎉🎉🎉🎉🎉🎉,1,2024-08-05T17:43:39Z
@user-ut8lx8bj2l,이대호선수<br>인생 후반전은 여유롭게 살아요.<br>너무 열심히 살지말구❤,2,2024-08-05T05:27:08Z
@user-tx1nf4nf6b,"뭐지. 이대호, 와이프분, 장인어른들까지.. 하나같이 얼굴에 착함착함이 묻어있어..! 신기하네요",3,2024-08-03T12:47:58Z
@user-cq9gw8le6n,팬서비스만 좋았더라면 완벽했을 선수,0,2024-08-02T01:58:36Z
@HH-te8sp,운동선수와이프 아무나하는거 아닙니다. 정말 보통각오로는 택도없어요. 대단한 분입니다.,1,2024-07-28T04:59:55Z
@틀니-q9o,이대호 하면 세숫대야 밖에 생각뿐 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ<br>요즘 참 포장이 잘된다 생각뿐 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0,2024-07-25T11:13:41Z
@kardinal9416,와 대호형 사모님 엄청 미인이시다,0,2024-07-18T06:52:35Z
@Again_1992-V3.,새삼 박영현 행동 안 한 대호도 대단함,1,2024-07-17T16:03:48Z
@song91025945,보통 유명해진 스타를 만나 결혼을 하는데 이대호선수 초반시절부터 함께했던분이 진짜 찐이시네!🎉🎉🎉,0,2024-07-17T09:40:25Z
@user-qx5ks9zl5v,야구 선수들 연봉은 10개월 이고 그닥 소문이 좋은 선수는 아무도 없습니다,0,2024-07-07T14:04:52Z
@julie-eu3kb,진짜 무명에 고아인 선수와의 교제를 허락하는것도 쉽지 않은데 장인장모님이 편견없이 사람을 볼 줄 아시는 참된 어른이시네요👍,2,2024-07-07T01:10:35Z
@정훈박-q2q,이런여자도 있구나.<br>감동이다~~,1,2024-07-05T07:05:59Z
@user-mw8vb5ez2b,21살에 진짜 대단하시다 천생연분인듯,1,2024-07-04T17:36:43Z
@user-eg3ny6vt8l,두분 행복하세요!!  아름다운 부부 천생연분 입니다.,1,2024-07-03T09:25:28Z
@leader1207,"대호야, 평생 잘해라",1,2024-07-02T12:38:10Z
@starpolarisstar,기아팬인데도 이대호는 보고 있으면 기분 좋아짐,0,2024-07-02T07:11:38Z
