Author,Comment,Likes,Published At
@아름다운바다-e9f,싸이코패스같노…,1,2024-08-29T13:46:58Z
@user-gs1ip9bc6f,하니도 세뇌 시켰을듯,1,2024-08-25T10:47:17Z
@명자-f1k,그만 해,1,2024-08-09T07:24:51Z
@명자-f1k,뭐  이딴 형제 😢,2,2024-08-09T07:24:00Z
@권현숙-s1l,정신병원서 묶는 강박은 흔한 일입니다.어떤 곳은 보호사가 막다루기도 하고 사망도 잦다던데요...진병원이 운나쁘게 방송탓을 뿐...😅방송나온 유명 의사다보니 이슈네요...,0,2024-08-07T13:12:15Z
@user-ih2yl4ox4g,저병원에서. 멀쩡한 사람이 죽어나갔는데. 저게 정상적인사람이라면 할수잏는일인지. 정말 악마를 보왔다는생각뿐이네요,4,2024-08-07T09:20:44Z
@sy-kh2nl,동치미서 양재진 좋게 봤는데  의료과실해 놓고 동생하고 방송 나와서 떠드는건 아니지 않는가?<br>관계자는 방송영구 퇴출하라<br>삼가 고인의 명복을 빕니다_()_,5,2024-08-06T23:43:10Z
@miyeonkim4870,이런 방송 제발 보지 않었음 한다 내가  이런 방송보면 죄를 짖게 된다. 화가나서,3,2024-08-06T15:11:42Z
@miyeonkim4870,사람 죽었는데  형제가 참 안면이 두껍고  인성이 바닥인거같다,4,2024-08-06T15:10:42Z
@kate1003781,둘다 연예인병 말기환자들임. 자기들의 본분을 잊고 있음. 저 형도 예전에 쇼핑몰대표랑 사귀고 동생은 방송국 기웃거리다가 아이돌이랑 사귀고 ㅉㅉ 둘다 의사면허 이용해서 지적인 이미지 이용해서 방송인 되려는 관종브로.,5,2024-08-06T14:37:56Z
@kvinpnf1279,양심이 없네. 혹시 병원에 또 다른 사망환자 있는지 알아볼 필요가 있어보임.  환자가 죽었는데 너무 의연함,1,2024-08-05T20:22:15Z
@kvinpnf1279,연예인 하지 무슨 의사? 사람을 살리는 의사 맞나? 입원 전 환자 건강상태 체크하고 문진하는 입원절차는 하는 병원인지 ? 입원실은 무슨 1인 감방처럼 생겨서… 정말 싫다. 이젠 tv에서 그만 봤으면,3,2024-08-05T20:18:08Z
