Author,Comment,Likes,Published At
@user-iy1nh6zj8i,만천아에 알려저 행복한 가요 ?,0,2024-08-30T03:41:43Z
@user-iy1nh6zj8i,👄  심한말을 실망 😞 😞 보기가 힘들다,1,2024-08-30T03:33:01Z
@goodman9041,아파트도 아닌 일반 주택에 엘레베이터 설치하는데 비용이 억단위는 들어갔을텐데 대단하네요 혜정샘네 집,0,2024-08-28T13:08:16Z
@user-lt4pc4jj1m,진수성찬 앞에 두고 얘기만 하신건 아니죠?,0,2024-08-24T11:45:59Z
@user-hz9ug5km6p,이혜정선생님  존경스럽습니다 고된시집살이  이겨내신   김혜정선생님   힘내시고  맞있는요리  많이보여주세요   선생님 건강하시고  꽂길만걸어가세요❤❤❤❤,0,2024-08-21T12:12:36Z
@user-cn2jc7yb7d,역시 아버지보고   자라  아버지 처럼   될거라는   혜정 역시 보고 배운다,0,2024-08-19T02:10:55Z
@user-yy4os2pi3q,나 서지호다,0,2024-08-16T02:49:50Z
@frondosotoreb,다절친이래<br>언제부터<br>이해관계따라ㅎㅎ<br>이여자보면이티생각난닿ㅎ<br>요리주니좋아는하지얻어먹으니,0,2024-08-14T09:25:58Z
@ringoshena29,와 이혜정선생님 볼라고 왔는데 김영옥선생님 말씀 한마디 한마디가 얼마나 예쁘고 따뜻하신지 진짜 감동이네요 ㅠㅠ송이버섯 선물주시면서 얼마짜린데 그걸 주냐고 요리할 때 쓰라고 하시고 디저트 내오니까 이거 먹을라고 밥 쪼꼼 먹은거라고 하시고 내일은 이런 진수성찬 못먹을거 생각하니까 벌써부터 우울하다고 하시고..ㅠㅠㅠ평생을 요리하는거에 무시당하고 인정받지 못한다고 생각하셨던 이혜정 선생님이신데 김영옥선생님이 그 아픔을 다 어루만져주시는 기분이예요,1,2024-08-08T11:55:00Z
@user-nz5qm8yi7f,이혜정요리사님 요리도<br>잘 하시고 멋지게 사시네요<br>앞으로는 요리사님 위해서<br>즐기면서 잘사시길 바랍니<br>다,0,2024-08-02T11:28:26Z
@user-xf8jj2rs1s,누구도 따라할수 없는 이혜정 요리연구가님 존경스럽습니다 ~,3,2024-07-31T23:14:13Z
@가시꽃-r1o,원래 덕이 많은 사람한테 고된 시련 하나쯤은 있다잖아요 그걸 견디면 복이 온다고...바로 그 시련이 시댁(남편)인듯.,0,2024-07-27T02:57:28Z
@user-fb7me9yl7h,빅마마를 인간문화재로~!,0,2024-07-12T10:26:36Z
@김소영-g4w,너무너무  재미있게  봣어요.<br>말소씨는  넘넘  정감이 갑니다.<br>나에게는  언니가  없지만<br>우리언니 였으면하는  욕심을 <br>부리고싶어요.<br>건강하시여  오래오래 뵙기를 바랍니다.<br>사랑해요^~^♡♡,0,2024-07-01T13:50:13Z
@서민준-c1h,역시 요리 연구가 맞으시네요. 김혜정님은 작은 한마디에 감동하시는 진짜 마음이 이쁘시고 고우신 거 같아요. 행복하고 건강하세요. 늘 응원하겠습니다.,0,2024-07-01T12:30:44Z
@user-jg3by9ce2u,시어머니도 선생님 남편도 제대로 된 사랑을 못받고 자라서<br>며느리도 안이쁜거예요<br>긍정의 에너지가 없는거거든요?<br>반대예요 <br>그건 불쌍한 거예요<br><br>오히려 챙겨주셔야 해요<br>더 잘 자라신거 같은데<br>힘드실필요 없어요<br>우리집처럼 미친건 아니니까요<br>답이 안나와요,0,2024-06-26T22:00:02Z
@user-rr3ik9wi3i,❤,0,2024-06-21T14:00:32Z
