Author,Comment,Likes,Published At
@user-fq6ev8in2r,박영규 좋아하고 시트콤도 진짜 좋아했다.  4번의 결혼은 어떤 사연이 있을까?  단지 가정을 돌보지 않아서 놓친 가정들이라면 4혼은 마냥 응원할수는 없지 않을까,0,2024-09-02T13:09:44Z
@user-hr9ck2bj2u,"박영규님  연기 좋아했는데  볼수 없어서 아쉬웠습니다.  누구에게나  아픔은 찾아오고   극복하는것이 쉽지 않지요!  앞으로 남은 삶은 건강하시고 ,행복하세요",0,2024-08-27T02:07:49Z
@Dae-d2v,유학까지 보내줬으면 엄청 잘해준거 아님...?,0,2024-08-23T17:27:38Z
@swernsiline2512,나중에 하늘나라에서 볼겁니다. 뒤돌아보니 인생 한순간입니다. 세월이 정말 빨라요.,1,2024-08-22T14:53:20Z
@listenerkr,"말만 들어도 가슴이 먹먹하네... 아들이 31개월인데 그 나이대 아기들만 봐도 내 아들 생각나는데, 20대 젊은이들 볼 때마다 박영규님 가슴이 어떨지 ...",2,2024-08-19T11:25:37Z
@GG_trader2024,박영규님 레전드 보고 웃다가 이영상을 보게됐는데 웃기만하다가 갑자기 눈물만 나네요. 박영규님 힘내세요,2,2024-08-14T11:41:42Z
@가을밤-l4n,저는 전처의외도로 이혼후 딸 아들과 살고있는 돌씽 아빠입니다 저는 선생님만큼 강하질못해서 도저히 살아갈수 없을것같아요.저의 전부이고 삶의이유이자 목적인데 그걸잃는다면 어떻게 살아갈수 있을까요?,2,2024-08-07T06:15:38Z
@janekim5608,아들 참 잘생겼네요………<br>극복이 안되는 일이죠……,0,2024-07-28T01:20:41Z
@user-gp5gi9le6g,저런 말을 울지 않고 하기까지 얼마나 많은 눈물을 흘리셨을지 짐작이 안되네요..,0,2024-07-25T05:19:30Z
@bjyh11,"박영규님, 김정화님 힘내세요! 😊",0,2024-07-17T11:14:43Z
@user-vd5dp5lw4d,이분 만인에게 웃음을 준만큼 앞으로는 많이 행복하셨으면 좋겠어요...,0,2024-07-08T12:40:56Z
@gobdan2326,"발레리나가 두 다리를 잃어버린 고통, 피아니스트가 두 손목을 잃어버린 고통, 작곡가가 두귀가 머는 고통, 자식을 잃는 고통..  온 진심을 다했던 것이 하루아침에 사라지는 것.. 고통스럽습니다",1,2024-06-25T06:42:19Z
@Smileyuuuki,아 김정화 얼마만이냐...<br>내 이상형 그녀..,0,2024-06-24T02:36:42Z
@ESFP벨라,난 제정신으로 못살듯..,0,2024-06-23T18:48:48Z
@user-kb3qj6sz2d,이름이 윤태곤이래 이름도 얼굴따라가나 곰팡이썩은 얼굴에 지어주는 이름인가,1,2024-06-21T15:22:26Z
@bulldog4402,"박영규배우님 아내분,따님과 꼭행복하게 사세요~~",0,2024-06-20T17:24:06Z
@user-tj9hn1xg7d,저도 딸이.. 하늘나라 가기전에 엄마가 제일예쁘다고 표현해주고 갔어요...... 그리고 천국에 있다고 친정아빠랑 남편에게 증명해줬어요 천국있어요 확신합니다,5,2024-06-16T14:32:10Z
@user-cn7wdg5yp2f,이미 다시태어나서 잘살고있을거에요. 이전생이 일찍 끝났으니 더 행복한운명으로 태어났을거에요. 이미 어딘가에서 행복 만끽하며 살고있을거에요,1,2024-06-06T00:40:37Z
@bangtv80,ㅠㅠ,1,2024-06-06T00:00:43Z
@mcdjpartyplannerhongva4746,진솔한 프로그램♡♡♡♡♡♡,0,2024-06-03T02:00:10Z
@user-lg2ve9rc9i,죽는자말이없다,0,2024-06-01T03:48:57Z
@user-lg2ve9rc9i,연기,0,2024-06-01T03:48:13Z
@user-lg2ve9rc9i,순풍산부인과,0,2024-06-01T03:47:55Z
@user-lg2ve9rc9i,연기을하지않는군요,0,2024-06-01T03:47:34Z
@user-lg2ve9rc9i,외아들하나죽었다,0,2024-06-01T03:47:16Z
@user-lg2ve9rc9i,알죠누구나자식잃은슬픔똑같죠,1,2024-06-01T03:46:46Z
@user-ps8tk6vx7h,무슨 심정인지 조금이라도 이해는돼네... 방송의 좋은 모습이 아인 다른 모습들이,0,2024-06-01T01:10:26Z
@user-ed4pn6hl3y,3인용 식탁으로바꾸면될거가지고 질질짜긴,0,2024-05-31T08:47:50Z
@rubykim6291,"나레이션 없었으면 합니다 굉장히ㅇ불빌요하고, 어울리지않는 분위기 깨는 목소리네요<br>정신사나워요",2,2024-05-31T05:51:19Z
@mrbig454,그렇게 유쾌하고 재밌는 미달이아빠의 내면에 저런 모습이..ㅠ,1,2024-05-28T13:14:05Z
@sohyesong3145,"진솔하고 솔직하신 분 같아요. 이거랑 와이프 만나신 영상 같이 보면서요. 4번 결혼이래서 좀 의아하게 바라봤는데, 이래서 사람은 미처 열어보지 않은 상자가 있으니 판단하지 말란말이 있다는 게 와닿네요 ... 남은 생애는 도란도란 행복하게 사시길 바랄게요❤",1,2024-05-28T05:11:36Z
@기모링-r4b,먼 미래에 천국에서 다시 재회하실겁니다,0,2024-05-26T00:56:39Z
@user-gl2ip9yp1v,이거 보니까 애들이 건강한것만 봐도 감사하네요,2,2024-05-24T11:55:56Z
@성이름-p3f4f,먼저간 가족이 하고싶은말은 살아보니 모든 죽음이 다 코앞이다. . 먼저간나를생각하지말고 어차피 하늘나리에서 곧 만나니 제발 이세상 만끽하다가 잔뜩 구석구석여행하고서 실컷얘기해줘 일것입니다. 이런꿈꿧거든요,0,2024-05-23T16:15:40Z
@user-mx3bz6wf3v,예전에 갑질 엄청하신걸로 아는데..ㅠ,0,2024-05-20T06:06:58Z
@user-iq2xr1jl2o,박영규 아저씨가 저희 아버지랑 고교동창이라서 더 와닿네요.<br>아드님도 제 또래였는데......계속 응원할게요. 따님이랑 행복한 삶을 사세요,7,2024-05-20T05:25:04Z
@limk7023,나도 지금 군대복무중인 외동 아들있는데<br>만약 아들 저렇게 잃으면 제정신으로<br>못살것 같음ㅠ 자식 먼저 보내고 사는<br>부모들은 살아도 사는게 아니지ㅜㅜ<br>가슴한켠이 텅 비어 구멍뚫린 것 같은<br>기분으로 눈감을때까지 살아야하니ㅠㅠ,3,2024-05-20T02:26:00Z
@EunyoungAhn-ub8sp,지랄하네,1,2024-05-19T00:49:01Z
@soolyunkim8350,몇년 전 부모님 모시고 횡성쪽 펜션을 갔다가 고깃집 식사하러 갔는데 박영규씨를 만났어요.<br>저희 아들한테 용돈 주시면서 머리 쓰담쓰담 해주시던 너무 좋은 분이었어요. 이런 슬픔 있으신지 몰랐네요...,93,2024-05-17T17:04:39Z
@user-ns6le7cz3v,"그 잃어버린 자식을 본인이 가슴 아파하지만, 전 부인인 그 자식의 어미는 더욱더 가슴이 찢어 지리라는 심정은 안 가지는가 ?<br>본인의 아픔은 고귀함이고 헤어진 그의 아픔은 상관 없는듯 ...",2,2024-05-17T05:30:43Z
@user-gi6mf4js9f,지나가다 뵌 적 있어요. 건강하고 행복하시길 기도합니다.,1,2024-05-16T15:13:09Z
@-qqsmartww4503,멋진 사람 ..<br>참 긍정적인 분이시네요,2,2024-05-16T15:00:29Z
@user-gx2iz1hg6t,유학가서 교통사고로 죽었다는 자식들 얘기가 참 많네. 검색해봐라 ㅉ,0,2024-05-16T14:04:34Z
