Author,Comment,Likes,Published At
@user-ut3kx7wp3k,영자씨랑 어머니가 닮으셨어요,0,2024-08-28T01:07:11Z
@user-nz4hy2cc7g,유미씨..부모의 사랑은 못받았지만  다른 누군가에게서 사랑을 받을수있다는건 큰행복입니다<br>어려움속에서도  당신은 지혜롭고 보석같은 사람으로 자랐습니다<br>지금 반짝반짝 빛나고있는거 아시죠???<br>나이들어 자신의 얼굴에 책임지는 유미씨 화이팅,0,2024-08-09T05:24:10Z
@user-wj8hr1ut2h,누군가의 처음을 듣는다는 것과<br>여전히 그것을 유지하는 것은 <br>겸손함이 있기에 가능한 거 같아요:) <br>유미언니 화이팅 하세요❤,0,2024-07-27T14:24:32Z
@user-xn9sq1ww6w,친해지고싶은 영자씨~~~나오는 프로는 전부라고는 못하지만 거의다보고 있는 아줌마펜입니다^^ 늘 밝고 긍적적이고 베풀며사는 영자씨를 응원합니다 홧팅~~~~♡,0,2024-07-24T12:35:01Z
@user-hy5oz2fb3e,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-07-04T04:18:29Z
@highfive4527,눈물이 난다 😢,0,2024-07-03T16:23:20Z
@user-ct3tc6dm1d,영자는 가식적인게 보인다.티비 나올때마다,0,2024-07-03T03:43:49Z
@user-hw6lg1ey9c,눈물난다 <br>어머님😢<br>영자언니 ❤❤,5,2024-07-01T08:45:01Z
@user-gi6py6dg3s,영자씨...엄마의 사랑을....눈물납니다....유라씨 엄마 마음...감사합니다.,18,2024-07-01T03:30:26Z
@tifnaysnow,이런애기를 나눌 사람이 있다는게 부럽네여,12,2024-06-29T18:07:09Z
@user-bj8vs6ok8x,😜💕🎀👍,1,2024-06-28T10:15:39Z
@user-hb7xx1bc5d,이영자씨는뻐속까지코메디원,1,2024-06-28T05:17:32Z
@user-pc7yc3os8w,4인용식탁<br>첫회가 제일 두근두근 따듯한 대화<br>제일이네요,3,2024-06-18T03:52:07Z
@user-tz1xr5po5p,있는 사람만 산다,0,2024-06-13T04:27:45Z
@dignity_all,영자님 당신은 소중합니다 ❤,4,2024-06-01T15:53:25Z
@nyledimarco8773,최유라님 코어운동을 조금씩 해보세요 어렵지않은것부터 쉬운것부터 🙂,4,2024-05-30T00:48:03Z
@sulasophieable,이영자씨 응원합니다:),2,2024-05-21T01:52:24Z
@Lina-hx9yy,영자가 대단한거야 사람의 장점을 발견할수있는게,10,2024-05-02T09:39:39Z
@user-lx9wq7gc1o,와!<br>음식 정성이 느껴지네요<br>사랑의 마음이 느껴질듯,3,2024-04-28T23:37:54Z
@dalaemaneul,영자씨 유라씨 팬입니다<br>두분방송 응원합니다<br><br>홧띵!!,2,2024-04-16T10:14:24Z
@understand1004,영자누나 이미지가 호감이야 좋은 사람,3,2024-03-28T06:18:55Z
@kms9724,힘이 되어주는 사람이 있었으면 의지하고 기대고😊나를 위한 사람이 있었으면😅눈물이 ㅠㅠ,14,2024-03-27T02:41:14Z
@효옥고,영자언니너무좋아요❤<br>승승장구하시길<br>늘!!<br>응원합니다♡,2,2024-03-18T02:14:39Z
@user-mc5ro9jo8g,맞어요이영자씨를 전국노래자랑M.C재격입니다,5,2024-03-16T09:42:11Z
@user-ep4ut9vo8b,영자씨 좋아해요❤❤❤❤❤,1,2024-03-16T04:29:51Z
@노희경-r7j,이영자언니 넘 잼나고 좋아요<br>전국노래자랑 MC 강추 강추 강추<br>강추 감추 강추 강추 강추 강추,3,2024-03-10T13:50:54Z
@user-fe9gz3fn1q,누군가가 마냥 내편이있다는건 정말 좋을듯,1,2024-02-29T12:13:05Z
@rtugwqp5037,육촌이면 그래도 가까운친척인거 같은데 조부모끼리 남매인데,1,2024-02-22T09:59:47Z
@user-ml9uk5el2j,북한에는 사돈에 팔촌까지 잡아간데요.😊,0,2024-02-21T17:22:58Z
