Author,Comment,Likes,Published At
@user-rw6ht3ew9s,이성미씨는 공감을 엄청 잘해 주시네요 같이 얘기 하면 참 좋고 마음이 따뜻한 분이라 느껴지네요,0,2024-09-13T02:42:26Z
@woojeongkim3632,이봉원씨는 남동생 뿐 아니라 둘째 누님이 이른 나이에 타계하셔서 현재 남으신 형제자매 분이 큰누님 밖에 없으신데 저희 큰외가 댁은 원래 다섯 남매(이모 이모 외삼촌 외삼촌 이모)였지만 이모 한 분(둘째)이 이른 나이에 타계하셔서 현재 남으신 형제자매 분들이 네 남매(이모 외삼촌 외삼촌 이모) 밖에 없으십니다.,0,2024-09-12T09:40:34Z
@장영훈-t3s,"김미화,김한국,이봉원,이경애,임미숙 KBS 개그콘테스트 2기(1984년)",0,2024-09-11T13:56:28Z
@user-jg8rz8gc1p,이봉원씨 다시 봤어요 미선씨랑 더욱더 행복하시길요^^,2,2024-09-11T00:08:27Z
@장제경,저도 롯데마트에서 이봉원님 뵌적있는데 사람들한테 인사받아주시더라구요 ~,2,2024-09-10T14:07:23Z
@talk365news,이경애 이모 보면 행복해져여❤❤,2,2024-09-10T13:51:41Z
@user-wo8vr4wq4h,옛날 시대 부모님과 현대 사회의 부모 입장과 생각은 다르겠지만 저 개인적인 생각은 그떄나 지금이나 변한게 없다고 생각합니다. 그냥 태어나는 순간 부터 힘든 세상 입니다.,1,2024-09-10T11:45:40Z
@user-vl5xd6uc3w,이런거 보면 그 누구도 겉모습만 보고 재단하는게 참 어리석은 일인거 같다....,8,2024-09-10T10:08:32Z
@user-rv9qo6dy8h,응원합니다 🎉,3,2024-09-10T06:49:44Z
@user-jh6ms6zd4q,천안 짬뽕집갔었는데. 환한웃음으로 사진도찍어주셧어요 ❤건강하세용❤❤,11,2024-09-10T05:27:49Z
@hyelyounchoi4794,희극인들 인생 알고 보면 힘든일 많다. 그 웃음 없음 인생이 허무 하죠. 존경스럽네요,4,2024-09-10T04:56:34Z
@user-cf2uw2lv3b,나랑비슷하네요  뭐든열심히 하세요,6,2024-09-10T01:45:08Z
@lovelee7777,자식들이 보물이네요❤,7,2024-09-10T01:18:43Z
@user-hf3vx8zs2m,나이가 들어도 도전하는 정신 배움의 정신이 부럽습니다.,14,2024-09-09T23:51:27Z
@user-u3sq7td5u,자기부모 자식들을 부부가 같이 돌봐야 될 상황이구만...  이봉원은 아직도 자기꿈 자기 좋아하는 일만 쫓는 이기적인 삶을 사는군 ㅉㅉ  박미선이 돈벌어 가족 먹여 살리느라 뼈 빠지겠네,12,2024-09-09T20:43:09Z
