Author,Comment,Likes,Published At
@user-ht7lx5dt8l,애기 너무이뻐요❤❤,0,2024-08-22T11:07:15Z
@user-dd5xx6vu8f,자식 맘데로 안되죠.... 그냥 즐겁게 살아요...,0,2024-08-12T04:12:26Z
@user-kp1cf2zj1d,손자 잘 생겼네요,0,2024-08-11T09:27:07Z
@김순호-o8c,이경실 지금남편 말마시오  전번남편보고있오,0,2024-08-06T04:05:44Z
@nasyonaru9333,그 비씨카드 다니시던 손씨성 가진 전 남편분 의 자제분이시겟죠,2,2024-08-03T03:08:29Z
@user-cs1ss5lq7x,손주 넘 귀엽네요,1,2024-07-24T06:48:43Z
@Bettie_hello,아이고 귀여워 ㅠㅠㅠㅠ 손주 진짜 너무 이쁘고 귀여워요~!! 요즘 아이 갖고 싶어도 못 갖는 사람도 많은데 얼마나 복이에요❤,1,2024-07-21T16:01:02Z
@user-ow1qh7cu3w,요즘 딩크도 늘고 시집장가안가는 젊은이들 많은데 일찍 제짝을 찾아 외롭지 않겠어요 자식이 생겼으니 책임감도 생기고 철들겁니다^^<br>아드님며느님 어린나이에 대견하고 기특하네요😊,5,2024-07-21T09:36:05Z
@김은하-x6t,넓은 아량이시네 경실언니!<br>손자 너무 귀여워요<br>안낳았으면 어쩔뻔했어요<br>아드님 잘 살꺼에요❤,1,2024-07-19T09:18:19Z
@user-rl5ge4cs6b,외로움이 컸나보네요 아들이 <br>경실언니는 말씀이  넘 쎄요<br>그래도 자식인데 어찌 안보실수가 ㅡㅡ,0,2024-07-19T08:04:02Z
@DJ-qh1ds,보승이책임감 강하고 일단 착하네,0,2024-07-15T09:18:15Z
@user-qs2sk9wq2d,집에 아이가 생겨야 웃을 일이 많아지는 것 같아요 복덩이네요~~,8,2024-07-06T10:00:03Z
@user-qe9dt6be1i,"엄마로서 솔직한 맘이죠. 순전히 엄마로서,,,",4,2024-07-06T08:10:07Z
@star48786,집에서 돌아가시는게 좋을 거 같아요,0,2024-07-06T06:36:46Z
@user-gd6nu4lv1r,이경실님~ 이 영상보고 이경실님이 참 바른사람 이구나 느꼈어요~행복하세요,4,2024-07-06T03:07:21Z
@doitdoit5463,부모로써 준비안된 상태애서 낳는다면 좋은 부모가 어딨겠어요 전 부모늠 아니지만 이경실님 심정 이해는되는데 그래도 어린데 아드님이 생명을 책임지겠다는거 본인도 23이면 아직 애긴데 무섭고 막막했을텐데 칭찬해 주고 싶네요. 며느님두요,4,2024-07-05T02:08:33Z
@seobaby-2223,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ교도소ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이경실씨 말솜씨가 너무좋으셔 ㅋㅋㅋㅋㅋㅋㅋㅋ<br>진지하게 보고있다가 터졋네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,2024-07-04T17:35:44Z
@user-hx6ws6qc2t,눈물이 나네요 ㅠㅠ,0,2024-07-04T03:27:18Z
@멀랑-u1j,이경실 아들 옛날에 순둥순둥하고 웃기던거 기억난다ㅋㅋㅋ 응원해요,6,2024-06-28T14:26:18Z
@kinwaite,아기는 마력이 있지ㅎㅎ<br>미운마음도 정화시키는❤❤❤❤,2,2024-06-25T22:45:56Z
@user-mc1jd4bd1m,"나도 아들이 자식을 기르는 가장이 됐다는 게 마음 아프더만,  다른 분들도 별반 다르지 않구나.",1,2024-06-23T05:35:04Z
@slahpark,옛날개그우먼들이너무좋아요...,3,2024-06-22T08:37:25Z
@user-lu5dz1ni2o,경실씨 아들 보승씨<br>정말 연기 잘하세요<br>살빼시면 제2의 선재가되실거에요^^<br>응원합니다,0,2024-06-21T09:59:28Z
@user-vh9vq4eb2x,경실님~~ 항상.  응원합니다. 🙏<br>건강 챙기시고  님만 생각하시길~,1,2024-06-20T11:31:44Z
@user-xh2bh2mh5v,경실님 마음 백번 이해가 가는말이..  <br>내 아들이 가장이 되는게 싫었다는말...<br>가장의 무게를 젊은 나이에 오롯이 지게되면<br>사실 그때부터 아들의 꿈과 아들의 청춘이<br>사라지는게 부모로선 너무 속상하죠..,84,2024-06-12T23:12:44Z
@user-up5ce6mu8h,이경실씨 너무티네요.진짜 이제 그만보고싶어요,5,2024-06-08T01:36:07Z
@user-jd9gf4uk7d,이경실님 이혼 안하셨나요?하신줄...,5,2024-06-05T13:22:20Z
