Author,Comment,Likes,Published At
@소노공,최홍림  말이  우리 부모들의  솔직한  마음  아닐까,0,2024-09-12T02:25:25Z
@user-wh5zp2rf2t,함익병님. 가평하이소.  진해.    경화동에서😂😂😂😂😂😢😢🎉🎉,1,2024-09-11T00:31:08Z
@user-oe7ji5rv8q,함익병  선생님  정말 너무 존경함니다  늘 한결같이  가족사랑  주변사랑  존경함니다  늘 지금처럼  행복하세요,0,2024-09-10T23:36:10Z
@user-sf2qq8yy9e,함익병님이 내 아빠였다면ㅠ<br>돌아가신 아부지 죄송합니다ㅠ,0,2024-09-06T07:54:52Z
@user-fx4uc1dp1d,지성인  함선생님,0,2024-09-04T14:21:31Z
@user-ds4ui3ck1b,함선생님솔직한맘존경함니다,0,2024-08-30T21:56:19Z
@user-wh3br1cx1s,아들 결혼한것도 몰랐다고 하던데. 자식농사는 잘못한것 같네. 자식을 합당한 논리만으로 키운결과가 자식결혼식에도 못간걸까? 그정도면 남남인데 엄마가 함익병한테 알려주지 않은것도 미스터리,0,2024-08-24T09:07:10Z
@손영순-q8z,함익병 원장 님 부부 대한민국 으뜸 부부 부러워 요.,0,2024-08-19T00:04:15Z
@songturbo,홍림이 좀 안오면 안되냐 쓸데없이 출연료 주는건 아니지,0,2024-08-18T11:29:14Z
@user-im9zb8gm7h,좋아요 함선생님🎉,0,2024-08-17T05:03:27Z
@user-qp8im1zy9j,이세상 모든 정답을 다 아는듯한 <br>눈빛 표정 말투 태도   진짜 싫다,1,2024-08-16T01:09:46Z
@user-lp7dg9lp8i,국힘 선대위원장 맡았다 여성혐오 발언 공개돼 짤림 노대통령 돌아가셨을때 여에스더 부부랑 축하파티 한거 sns에 자랑 한 인간들임 ​@sharonl6172,2,2024-08-14T13:29:55Z
@user-or7dl8wv1v,딸은 아빠닮고 아들은 엄마 닮았네요.부와 학벌 외모 아들도 있고 딸도 있고 가진게 참 많으시네요.부럽네요.,1,2024-08-13T08:38:07Z
@user-vs6sc1vk3f,함익병 선생님 존경합니다.,2,2024-08-12T15:39:07Z
@정숙김-l8y,합리적이고  이성적이고 존경합니다,1,2024-08-12T08:48:58Z
