Author,Comment,Likes,Published At
@heyyeunkim3059,동네에서 흔하게 먹을수있는 중국집<br>저거보다 맛없기도 힘들겠더라,0,2024-09-12T14:37:29Z
@user-wg3yj8hh9u,천안사람은 한번가고 다시는 안가요.<br>다 외지인들이 먹으러 옵니다.<br>저 천안사람입니다.,0,2024-09-12T14:23:39Z
@laurentyoon,국민학교시절 티비에서 보던 코미디언 분들이네요. 건강하고 늘 행복하시길..😊,1,2024-09-12T01:37:04Z
@user-zx2es6em1q,좋다. 알아서 티비광고도 해주고....,1,2024-09-12T01:30:58Z
@johnjung8387,절친이 아니라 이 봉원이 맨 쫄따구지..<br>물론 친하긴 하지만<br>서열이 ...,1,2024-09-11T17:27:21Z
@user-nb6xo3bj6s,맛나겠다.,1,2024-09-11T13:36:38Z
@kindun7701,봉원님 짬뽕집 맛있습니다.<br>친절하시구요ㅋㅋ,3,2024-09-11T11:02:41Z
@피우리-x8s,봉짬뽕  맛없음  돈  아깝,2,2024-09-10T23:41:06Z
@justs930,경희네를 보며 그넘의 나까무라가 자꾸 생각이 나서 말이지. ㅋㅋㅋㅋ,0,2024-09-10T18:03:52Z
@user-ef5xw2sx9c,그냥 쳐 잡숴 뭔말이 많아 ㅋ,2,2024-09-10T15:18:09Z
@ianlee6133,2bong one!!!!!!!!!!!!!!!!!!!!!!!!!!맛있어요,2,2024-09-10T11:25:04Z
@user-jh6ms6zd4q,천안짬뽕집 맛있었음 ❤😊😮,7,2024-09-10T05:54:51Z
@user-wz7nf9rh6u,엠병~친구들  생각해서  맛나게 해줘도 지랄이네.  그렇게  잘  아는 넘이  지  아내한테  그렇게  하냐?...,0,2024-09-10T05:01:43Z
@신애애,맛있것다.  먹고 싶네요.ㅡ,12,2024-09-10T04:20:10Z
@user-hr9ck2bj2u,맛있게 보여서 먹고 싶습니다.,15,2024-09-09T17:35:52Z
@user-gk3ht7yi3s,맛없음,9,2024-09-09T16:37:29Z
@user-nh6lr7bo3q,짜장이나 짬뽕은 약간 달아야 맛있어..너무 매운맛 풋내만나면 두번 다시 안가..여기는 안가봐서 모르지만..홈쇼핑도하세요 서울에서도 먹어보게..^^,10,2024-09-09T15:34:27Z
