Author,Comment,Likes,Published At
@a_foxforest,지금도 넘 예뻐요~~^^,0,2024-08-21T14:44:07Z
@김현정-k2o,제이쓴 정말 멎찌다!!!,0,2024-08-18T02:01:06Z
@sam-qh9ru,여자에게 직진하고 결혼하자고 조르는 남자일수록 열정도 빨리 사그라짐 지속가능한 성실함 이게 중요함 결혼후 육아도 살림도 꾸준히 함께 하는 남자가 진국이지,13,2024-08-03T01:33:44Z
@휴식-k9d,왜 할머니랑 결혼 하는 퐁퐁남들이 많은게냐 미나남편 필립인가 갸도 그렇고 에휴,2,2024-07-29T03:16:40Z
@마음이-j6u,조갑경은  딸옷입 었나요  항상 오버하네요  나이에 맞게  입으시죠,1,2024-07-27T07:56:06Z
@user-gb6mn7gt4g,재혼?,0,2024-07-26T23:15:13Z
@user-dc3dr5sp5d,남편들 그만좀 까세요  남편들도 남자늘 다내려놓고 최선을 다들하고있씀니다 그렇게 여자분들이 위대하다고 생각들이라면 혼자들 사세요 괜한 멀쩡한 남자들 폐잔병 삼식이 눈치없는 놈팽이 옆에있으면 불쾌한 존제 만들지말구ㅡㅡㅡ,3,2024-07-25T15:17:03Z
@user-ru4vw6mv7c,제이쓴 진짜 최고,5,2024-07-25T01:26:58Z
@rickyricky-vu5kq,"공감되는 부분도 있긴한데, 새남편하고도 글쎄요?11살 어린데 손구락 까딱도 안하는걸로 시작해서 다~~~깠자나? 사생활은 대충들 까시지? 뒤늦게 이미지수습용으로 보임",6,2024-07-24T21:52:22Z
@맛윤,자식은 축복이지만 낳는 동시에 전쟁이네요~~물론 누군가 도와주시면 예외 일수도~~,4,2024-07-24T10:46:12Z
@ahhwvsuwv2kxhwkw7,그치 남자는 여자때문이지,0,2024-07-24T09:32:28Z
@ihggyjj,이래서 한녀는 걸러야됨 독박육아주장하면서 독박노동은 인정안하고 들어와서 애까지봐주는걸 고마워하는게 아니라 당연하게 생각하니,1,2024-07-24T07:55:36Z
@user-ly7hs6jq5f,아~~ 여기 나온사람 다 멋쪄부러 모두 응원합니다 😊🎉❤,2,2024-07-24T02:38:10Z
@포푸리-01287,배윤정님 오빠분 진짜 최고다 저런 오빠 있으면 어떤 실패를 겪더라도 무서울게 없을듯,72,2024-07-24T00:25:13Z
@user-ht5vo4ue1z,조갑경가수님이 젤이쁘네요,1,2024-07-23T20:08:59Z
@hee6851,와씨 친오빠분 멋있다 찐상남자,59,2024-07-23T12:52:14Z
@totokim1906,와 대단하다 가족. ❤❤,9,2024-07-23T10:17:49Z
@user-hw8ml2hh9s,배윤정님 오빠 진짜 👍👍,17,2024-07-23T08:30:57Z
@user-ds2zt3cq3u,"아이는 걸림돌이 아니고,<br>축복 입니다❤<br>배윤정님 멋지세요🎉🎉🎉",32,2024-07-23T05:36:34Z
@mimi0602_,이 조합 참 좋다!!!!,22,2024-07-23T04:53:28Z
@dmdjcjalsodkfj8500,배윤정은 뭔가 호감이안간다 아무리봐도;; <br>기가너무쌔보이고 이태껏 모든 방송에서 했던 행동 말투보면 기가 확실히 쌤 목소리도존나크고,12,2024-07-23T04:45:52Z
@user-jt9ri6wk7u,제이슨자기가울컥해,2,2024-07-23T02:39:34Z
@user-df7pp8mw3i,배윤정님도 능력있는 여자인데 매력이 왜 없겠어요<br>둘이 인연이었던거죠,30,2024-07-23T00:42:49Z
@user-oo7uu7tb4d,능력있네연하<br>매력어필한단얘기<br>❤❤❤,9,2024-07-23T00:25:11Z
@coffee11137,연하던 연상이던 여자성격은 별로 같은데요 남자는 외,2,2024-07-23T00:24:14Z
@Ghkgvfdd,제이쓴은 왜케 괜찮냐 너무 괜찮다.,180,2024-07-23T00:03:34Z
@최태실-f6m,제이쓴 비비호감!!!,4,2024-07-22T23:49:08Z
@user-lp8mw8ri4q,도니 좋아,2,2024-07-22T23:34:17Z
@user-lx9wq7gc1o,남편탓은 아니죠<br>인생은 남 탓이 아닙니다<br>다<br>내탓이려니 해야죠<br>다들 <br>결혼했으면 다들 자신이 선택했잖아요<br>내가 선택했으면 내 탓이지<br>왜<br>배우자 탓인가요<br>상대를 손가락질 하기전에 나 자신을<br>돌아보세요,27,2024-07-22T22:38:06Z
@namheekim4197,ㅋ똥싸네,6,2024-07-22T22:18:59Z
@user-vi4pt3vq2h,나이차 연하결혼 절대 끝이보이는 미친짓임!!  특히 남자연하 나이차 큰것은 이미 정해진 미래 임!!  어짜피 알면서 ᆢ,7,2024-07-22T18:57:13Z
@user-tn5jb4xi3e,근데 홍현희가 제이쓴 부모님 하나도 안싸우고 사이좋다고하지않았었낭,31,2024-07-22T16:57:32Z
@hjs8621,멋진가족이네요 남보다못한 가족도 있는데,11,2024-07-22T15:50:04Z
@STINGER82,또 다 남편탓이래..에이 샤앙~~,12,2024-07-22T15:43:09Z
@user-bh8lu6ww9w,인연은 있나봐요👏🏻👏🏻🩵,17,2024-07-22T15:36:54Z
@user-qe3xw2rb2b,오빠님 너무 멋져,36,2024-07-22T15:10:34Z
@user-sq9jv8eu9k,예전 예능 프로그램이 잊혀지질 않음<br>배윤정한테 잘하세요 !!!! 남편분...,119,2024-07-22T14:50:32Z
@user-yj1xd4je2n,이런방송만든pd를짤라야한다<br>이게 tv방송이냐,18,2024-07-22T14:44:29Z
@TIME-g7x,배윤정멋짐!!!❤❤,24,2024-07-22T14:40:01Z
@user-ql2iu9gf4h,이런 사례가 있구나 ㅋㅋ,5,2024-07-22T14:15:04Z
@user-kf8wo9qi5e,재훈이가 내랑결혼 한다고,4,2024-07-22T12:49:07Z
