Author,Comment,Likes,Published At
@koei88kr,가장으로서 좀 이기적인 거 아닌가요?,1,2024-09-11T23:48:25Z
@user-zd4ey3wl9l,지 부모 남한테 떠넘기고 돈이고 수발이고 며느리 혼자 독박에 무책임한놈들 무슨 할말이 많다고 ㅡㅡ,2,2024-09-11T15:08:26Z
@user-yo3dh7kp6d,이봉원은 미선사랑안해 이봉원은 이기주의자야 지일밀하고 저만생가하는얌채지  미선씨ㄱ가엽네,3,2024-09-11T13:00:02Z
@rayjay1010,"이성미 박미선 둘 다 비호감. 이성미는 사람 깔아뭉개고, 박미선은 뒤에서 뒷담화 하고 개 독",3,2024-09-11T09:49:28Z
@김성은-l2z,자기가 하고싶은거만하고 살려면 결혼은 왜 했대요 ㅠ,7,2024-09-10T11:31:33Z
@bok7963,이성미 나이들수록 점점 마녀가 되어가나 봄.<br>지보다 6살이나 나이 많은 선배 김학래를 무안주고 쫑코주고 제발 그만 나와라<br>예의는 부모 교육을 못받아서 그런가 제로네..ㅉ,0,2024-09-10T10:38:04Z
@Rminis,나중에 내몸 아파 드러누워 수족을 못쓰게 될때... 누구한테 돌아갈건가요... 그때도 그 중국집 주변 아파트에서 혼자 사실건가요.. 아마도 어느새 이기적으로 변해 와이프 곁으로 가서 나를 간병해달라고 하는게 바로 집나가 사는 남편.남자입니다.,6,2024-09-10T09:17:17Z
@Rminis,아휴.. 미선씨 정말 지지리 복도 없으시다. 남편이 정말 남처럼 사네요. 부부의 의미는 무엇인가... 그래도 인연 끊지않고 &quot;부부&quot;그 이름을 유지하며 살고 있네요.안쓰럽네요.,3,2024-09-10T09:15:20Z
@user-dg6zc9co4z,참 씁쓸하다. 방송보면 부인은 남펀의 사랑과 관심에 목마르고 남편은 부인에게 무심하고. 왜 항상 그런 구도일까?,7,2024-09-10T07:28:57Z
@user-rs6eu4hk7f,박미선은 이봉원의 사업병까지 끌어안으면서 살았지만 시트콤 순풍산부인과에서 미달이 엄마로 인기끌면서 대국민배우가 된거지,4,2024-09-10T03:31:15Z
@애니라니,수고많으셨어요 ❤❤❤❤❤❤❤❤❤❤❤❤,2,2024-09-10T03:13:39Z
@user-xu7kv3sv1r,이봉원씨 아직 멀엇네. 결과물을 떠나 본인이 하고픈 모든것을 다 해볼수 있엇던건 아내의 100프로 내조의 덕분이엿슴을 환갑을 지난 나이에도 모르고 있으니...본인이 최고로 샘각하는 부모님의 뒷바라지를 아내에게 다 떠맡겨 놓으채...이봉원씨 지금이라도 아내분인 박미선님께 진심으로 감사함을 전하세요. 자식을 키우는 부모님 입장에서도 그런건 아닙니다. 애들이 다 보고 배움을 잊지 마시고... 알고 있슴이 아니고 표현을 하는게 더 중요하고 그게 진짜 가족의 사랑입니다.,25,2024-09-10T02:29:33Z
@이미순여성,징징.되는.스타일.예민.너무깔끔하다.이성미씨,3,2024-09-10T02:28:36Z
@user-u3sq7td5u,자기 부모 맡겨 놓고 고마운줄 알아야지 ㅉㅉ,21,2024-09-10T02:24:40Z
@user-cf2uw2lv3b,이제부터라도 잘해요  연락안하는게 잘난게아니라  서로챙겨주고 아껴주고 해요  ^^,11,2024-09-10T02:03:03Z
@Qwertyui189,박미선은 정말 효부에요,11,2024-09-09T15:43:51Z
@Qwertyui189,슬픈 얘기네요,6,2024-09-09T15:43:38Z
@Forwarding-n8x,대체 왜 이혼 안하는 걸까?,10,2024-09-09T15:25:49Z
