Author,Comment,Likes,Published At
@hopel-l2j,아내복넘치는분,0,2024-09-13T05:33:22Z
@태또,웃기지마라 봉원아 니마누라 박미선이 아니었으모 니가그리 과감하게 사업여러개 벌릴수있었겠드나 어디서 게아리트노?,0,2024-09-13T02:03:06Z
@user-ww7mc4py5u,그래도 일하잖아. 빚도 안갚고 여자돈으로 빚갚고 노는 남편들도 있는데 이봉원은 그래도 장사해서 자기 밥벌이는 함. 여자 울궈먹고 사는 남편들도 있음.,0,2024-09-13T01:24:10Z
@Sam-we6ui,각자 다 다른 인생이고 사는 방법이 다 다른거죠.,0,2024-09-13T00:58:59Z
@허남연-m2g,뭔 누명이래?!<br>사람들이 맞는 말 하는거지?!!,0,2024-09-13T00:37:40Z
@user-dd5xx6vu8f,부인 마음 아프게 한거 큰죄다,0,2024-09-12T20:41:58Z
@Jhgtf654,빚 때문만은 아닌거 전국민이 다 알지 않나? 부인을 꿔다 놓은 보릿자루 마냥 대하는거가 더 속상한 일인데..,0,2024-09-12T17:59:09Z
@user-bs3nu7wm4u,판잣집에서 살던거  자기  빈곤가정생활 이지ᆢ가장으로써 책임감은 없고  자기  가난할때  살때  못배운거   자기성취하는데만  열심 뻔뻔해  입이 열개라도 할말없겠다 ㆍ 시부모까지 같이 사는데ᆢ 미친놈인듯,2,2024-09-12T10:46:07Z
@미미미-j4y,모두들 박미선편이아니다 방송에라도 애틋하게 데하면 욕먹지는않지 돈이문제가 아니지,0,2024-09-12T04:23:17Z
@파늘,광우병 선동. 박미선<br>참,1,2024-09-12T03:36:15Z
@koei88kr,이봉원 씨 이기적인거 아닌가요 자기 하고 싶은 대로 다 하고 산다? 그게 가장인가요 부부가 봄이 멀어지면 마음도 멀어지죠 어머니는 미선 씨한테 맡겨두고 본인은 천안에서 하고 싶은 거 다 한다?,0,2024-09-12T00:09:11Z
@4bookjari182,저 세대 남자 개그맨들 중에 멀쩡한 사람 거의 없음 <br>대부분 부인덕 보고 살면서 큰소리 치는 사람이거나 바람피고 가정지키지 않은 사람 사업하다 망하고 사기전과 연루된 사람<br>누구누구 이름은 언급안하겠지만 대부분 다 저럼,0,2024-09-11T20:43:49Z
@Wiseman77888,이봉원씨!<br>이봉원씨한테 질투들이 나서 생각없이 하는 남들의 말이니 담아두지 마셔요!<br>부부는 일심동체여요.  상황에 따라 역할이 완전히 바뀌기도 하는것이지 그것을 주판알 치면 안되죠. 잘난 여자를 만난것은 이봉원씨 능력이여요. 이봉원씨 화이팅!,0,2024-09-11T16:24:09Z
@nasdaq88,미선씨 대단하다  자기 부모도 아니고  넘부모를 자기가 벌어  모시고 애들키우고  얼마가  힘들었고,0,2024-09-11T16:01:55Z
@user-jv2qe2pf9p,사이좋을땐  남편 욕 안나오던데 난<br>지금은 안좋으니까 하는거지,0,2024-09-11T12:48:49Z
@mhj9059,이봉원 성격은 자기밖에모르는 이기적인 유전자인거 같다,0,2024-09-11T12:12:53Z
@Wiseman77888,댓글들이 남의 부부 파탄을 원하네<br>이봉원씨 참 자존심 상하겠어요.<br>하지만 박미선씨 정도면 괜찮은 편이니 맘 굳게 잡수셔요.,0,2024-09-11T07:22:07Z
@Wiseman77888,돈이 전부가 아니다,0,2024-09-11T07:16:27Z
@Wiseman77888,남의 부부가 어떻게 살던 무슨 상관?<br>박미선이 훌륭한 아내면 부부일심동체이니 남편도 훌륭하죠.<br>사람은 정신이 중요하므로 돈잘벌고 일 잘하는 것이 전부가 아니다. 외적으로만 보면 왜 이혼 당하는 여자들은 거의다 외적으로 완벽한가,0,2024-09-11T07:15:41Z
