Author,Comment,Likes,Published At
@user-xe9es4fj8u,미3누 화이링,0,2024-09-05T22:31:55Z
@user-ye7ef8kw2m,텃세만 ㅈㄴ 부리고 바로 잘라버림? 2주째 안보이느,0,2024-07-30T18:46:54Z
@user-zr2kn8ez4o,미미미누는 봐야지,0,2024-07-18T09:59:44Z
@Jaeyoung002,솔까 공부 지식 빼놓곤 저 중 제일 최고지 않나,1,2024-07-07T11:44:10Z
@graceoh3839,"티쳐스 출연자도 대본이나 설정이 있는건지. ㅎㄹ양 편은 뭔지 모르게 공감이 안돼고 불편한 느낌이 들어요. 그냥 목표가 정승제 쌤 티칭같이 느껴졌어요.  자극적인  설정에 문제 상황을 짜낸 것 같고. 미미미누  데려왔으면 포지션을 확실하게 해주던지 ,구박하고 텃새부리는 느낌 정말 보기 불편했습니다.",4,2024-06-30T16:15:15Z
@user-fy9et2fq3e,헐 대박,0,2024-06-30T15:34:13Z
@haechanfan,미미미누 나온다길래 기대하면서 조정식 걱정도 했는데 편해보여서 다행이다,4,2024-06-29T02:42:47Z
@user-tp5xl9xu4h,시즌1은 보다 말다 했는데 시즌2  꼭 챙겨봐야겠네요 (초1키워요)~,1,2024-06-28T04:59:25Z
@icelandicaurora9459,어머 ㅎㅎ 시즌2  기대됩니다,0,2024-06-27T11:25:11Z
@worldgame10000,혼자 고등학교만 이론상 8년동안 살았던 사람,0,2024-06-27T08:49:17Z
@ya1775,미미미누 화이팅!!!,1,2024-06-27T03:07:00Z
@건들지마-p2n,진짜 ㅋㅋ 고3중에 미미미누를 모르는 사람이 있나 ? 싶을정도로 입시하면 미삼누아니냐,1,2024-06-26T00:37:45Z
@plaguedoctor8603,5수?<br>11수의 케케케인님을 아니?,0,2024-06-25T11:30:14Z
@user-yp3sk4jy7z,ㅋㅋㅋㅋ 미누~ 흥해라~,1,2024-06-25T10:30:11Z
@user-sx1kq6zj5o,미3누 너무 기대되고 대한민국 교육과 입시는 미3누 빠지면 안됩니다.<br>제작진 섭외 잘 했어요.,0,2024-06-25T06:58:56Z
@minjaekim7742,국어샘도 부르세요,0,2024-06-25T04:33:36Z
@user-vm6ss8ph2m,찰떡섭외,0,2024-06-24T15:31:56Z
@user-rr5pr9m,이제 우리엄마도 미미미누 알겠네..ㅋㅋㅋㅋㅋ,0,2024-06-24T13:39:58Z
@user-cp1hd4dg5e,미미미누 나오니깐 재밌을듯..,0,2024-06-24T12:51:35Z
@최령-j5u,헐! 무조건 봐야지😂😂🎉,0,2024-06-24T12:15:09Z
@user-id6pu4uz6t,미미미누는 ❤,0,2024-06-24T11:49:24Z
@user-rh9cm3rl3o,미미미누한테 컨설팅 받으면 오수미누 되는거 아님?,0,2024-06-24T05:10:22Z
@mph5788,ㅋㅋㅋㅋㅋㅋ소름돋아,0,2024-06-24T04:40:04Z
@user-pf1xv1ig5s,너무 기대됩니다 쟈미있을듯 ㅋㅋㅋㅋㅋ,0,2024-06-24T01:00:41Z
@TV-jm2jb,윤도영샘도,0,2024-06-24T00:29:23Z
@sdurmeianm,기대된다❤,0,2024-06-23T15:59:46Z
@sunhee9,이번에 아이가 대학 압학했어요 ㅎㅎㅎㅎ 근데 뒤늦게 미미미누 입덕 했어요 ~~~미미미누 분량 많았으면 ❤,1,2024-06-23T12:32:13Z
@user-yc8lv9xn8u,"패션 이과, 허수책상ㅋㅋㅋㅋ 단어 개웃기넼ㅋㅋㅋ",1,2024-06-23T06:59:20Z
@syaosyao-kh6sm,5수까지 했으면 와. .. 본인 같은 실수를 반복하지 않게 도와주는거 너무 좋다. 시즌2 기대^^,31,2024-06-23T03:43:55Z
@user-no8eh8dg4n,기대됩니다,1,2024-06-22T12:17:22Z
@albbanoo3,와 제작진 일 잘하네 꼭 봐야겠다,10,2024-06-22T07:43:06Z
@lhjserena,미3누가 나오는 티처스 기대됩니다.,1,2024-06-22T00:13:14Z
@user-vu6iy2wg4d,왜 잘생겻냐,0,2024-06-21T14:22:54Z
@user-zj4bz7kk7c,미3누 댓글 지운거임? ㅠ,0,2024-06-21T14:14:49Z
@user-ft6eo1ux5u,짧게봐도 재밌네요😊😊,0,2024-06-21T08:13:13Z
@yein_05,솔직히 미미미누도 메가에서 일하면 인기 많을듯,1,2024-06-20T18:19:09Z
@김미애-r5q,학생들 소식도 궁금합니다,1,2024-06-20T18:09:24Z
@user-jc5ug6ub6g,와 재밌겠다,2,2024-06-20T16:58:26Z
@user-si6ow6sb8q,미미미누는 뭔 티처스예요?,1,2024-06-20T14:01:08Z
@nakng17,아 티처스 ㅋㅋㅋㅋㅋ 캐스팅 미쳤다 ㅋㅋㅋㅋㅋ 갑자기 웃음 큰 한스푼 더했네,1,2024-06-20T11:43:16Z
@user-dy6lf6bc8m,얘 나오면 수능에 연관이 전혀없는 나도 보고싶어짐 그만큼 재밌고 잘하더하,1,2024-06-20T06:00:22Z
@user-un4yh1xk8n,섭외 잘했다. 칭찬하다 제작진😊,1,2024-06-20T03:28:05Z
@Erudam,ㅋㅋㅋ작가분들 빵빵터지네요 ㅋㅋㅋㅋㅋ,1,2024-06-20T03:00:28Z
