Author,Comment,Likes,Published At
@Jeniqie,생선님이라는거서부터 귀여워…,0,2024-09-04T14:42:00Z
@암흑전자,개웃기다ㄲㄱㅋㅋ,2,2024-08-18T10:43:04Z
@user-mn1jj8gy8g,하 … 진짜 스트레스 받는기분이야 지금,0,2024-08-10T18:51:19Z
@user-cu7ns8mz6z,조정식에 이어서 정승제 간다~!ㅋㅋㅋ😂😂,0,2024-08-08T13:22:33Z
@user-lo8vw4ji8z,샘 후기 궁금ㅋㅋㅋ,2,2024-08-03T05:38:40Z
@user-ds5tz6sg3k,조정식은 끝까지 봤는데 이건 못보겠네...,0,2024-07-23T10:01:22Z
@그르륵칵칵힛맨뵁,"<a href=""https://www.youtube.com/watch?v=62CdgGzPWqk&amp;t=104"">1:44</a> 아 진짜 개욱갸욬ㄹㅋㅎㅎㅋㅎㅋㅎㅋㅎㅋㅋ",8,2024-07-14T17:07:48Z
@user-fi5rn2fh7t,ㅋㅋㅋㅋ,1,2024-07-12T06:58:49Z
@user-ex2dj6vo5x,아 ㅠㅠㅠㅠㅠ 진짜 ㅋㅋㅋ 정식선생님이랑 승재선생님 저 팬입니다,2,2024-07-09T01:19:47Z
@시뫄_sim.wa1115,킹받ㅋㅋ,2,2024-07-01T11:58:31Z
@skzbsyy,ㅋㅋㅋㅋ 과몰입 되는데.. 아 킹받네..,1,2024-06-30T08:51:57Z
@GGARGURI,못가서 아쉬운 정승제사생팬이면 개추,21,2024-06-29T14:57:21Z
@Kim_sub.scribe,대 승 제,1,2024-06-29T14:56:42Z
@아임뚱녀,기여워 기스날래요?,0,2024-06-25T14:19:50Z
@user-tw8dc5tl2e,1타 강사가 연예인이 될 줄은,2,2024-06-24T16:46:59Z
@user-xf3bp1bn2p,13년생 티처 덕질중,0,2024-06-23T08:14:32Z
@user-eu2ym1nj7q,"<a href=""https://www.youtube.com/watch?v=62CdgGzPWqk&amp;t=56"">0:56</a> 죽을수 있으니까 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",14,2024-06-22T03:53:14Z
@yun._._07,혼인신고 들고온 분 정승제 사생팬 인가요,12,2024-06-20T11:40:29Z
@user-ji8bt9tj2n,"<a href=""https://www.youtube.com/watch?v=62CdgGzPWqk&amp;t=100"">1:40</a> 아 이게 개읏기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",10,2024-06-19T13:06:55Z
@kyuhyun1106,할거 다해주는 정승제쌤 ㅠㅠㅠ,8,2024-06-18T08:07:52Z
@lucky_cheom-ji,승업튀 ㅋㅋㅋㅋ,3,2024-06-15T15:51:56Z
@user-kt8xh6cu5m,😂😂😂😂😂😂😂😂,1,2024-06-15T12:59:39Z
@user-vk8sp9qj8j,너무 좋아요ㅋㅋㅋ,10,2024-06-15T05:14:02Z
@user-lm3vl2qq4q,내가 지금 뭘 본 거지..?,10,2024-06-15T04:56:37Z
@mapletree732,정승제가 &#39;&#39;5수생&#39;&#39;에게 라는 제목보자마자 미미미누 생각나버림 ㅋㅋㅋㅋㅋ,10,2024-06-15T03:26:45Z
@개코원숭이,5수생이라길래 미3누 말하는줄,0,2024-06-14T14:50:21Z
@user-wn5ue7td1d,너무 귀여우심...,12,2024-06-13T17:34:02Z
@user-iq4mv9pw5q,"<a href=""https://www.youtube.com/watch?v=62CdgGzPWqk&amp;t=107"">1:47</a> 손 잡고 안 놔주는 아이돌 팬싸 보다가 질겁하고 빼라니까 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",287,2024-06-12T15:42:19Z
@user-ps7fz4pp8d,"<a href=""https://www.youtube.com/watch?v=62CdgGzPWqk&amp;t=86"">1:26</a> 대학교 갔는데도 난 이지랄인데 뭔소리야",19,2024-06-12T02:56:02Z
@user-ps7fz4pp8d,현타&amp;고마움&amp;어쩔줄몰라함이 적절하게 섞인 정승제 생선님 ㅋㅋㅋㅋ,111,2024-06-12T02:55:28Z
@user-ps7fz4pp8d,아 미친 나도 갈 걸..,31,2024-06-12T02:48:44Z
@user-yx7el9it2q,근데 혹시 정승제 팬 싸인회 24년 6월 30일에 하는건가요?<br>한다면 어디에서 하나요?,7,2024-06-11T23:16:57Z
@user-ip3bm4eh7x,승제업고 튀어 폼 미쳤다❤,69,2024-06-11T16:51:28Z
@yoonji-1016,ㅋㅋㅋㅋㅋ 혼인신고서 미쳤다 ㅋㅋㅋㅋ 수학은 역시 정승제 생선님 ㅋㅋㅋ 거의 수포자였었는데 정승제쌤 강의듣고 다시 수학에 대해 관심을 가질 수있게되었어요!! 승제쌤 존경합니다~~ 티처스2 화이팅!!,76,2024-06-11T16:01:13Z
@Adidasslipper,생각해보니까 여학생들밖에 없네? 고의로 여학생들만 뽑은 건가?,5,2024-06-11T15:37:57Z
@liijh9123,강기원 인강 드가면 정승제 땀?,1,2024-06-11T15:33:31Z
@ouoioiou,아왤케웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,62,2024-06-11T14:14:17Z
@aliceemrs.9200,진짜 저도 이 선생님 너무너무 좋아요. 진솔하게 학생을 대해주시는게 느껴져서 ㅜㅜ왠만해선 다시보기싫은 수학을 이나이되어 보게 만드신다니깐요,84,2024-06-11T14:03:55Z
@jhjh7710,뭐하자는 거죠…?,2,2024-06-11T11:30:14Z
@user-nh2pj8cn2d,쌤 넘 좋아요😊,11,2024-06-11T10:18:29Z
@yechani613,선생님 지금 본인 딴엔 수치심 MAX이실듯,15,2024-06-11T04:31:24Z
@ryngsuh,"<a href=""https://www.youtube.com/watch?v=62CdgGzPWqk&amp;t=33"">0:33</a> 5세대 아이돌미 도랏다(positive) 짜증나(positive)",17,2024-06-11T02:30:19Z
@아슈님,정식쌤 기대된닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,196,2024-06-11T01:04:46Z
@user-fd1pp6ol7j,나두 생선님 싸인 받을래...,13,2024-06-10T16:58:59Z
@hjnam7539,"<a href=""https://www.youtube.com/watch?v=62CdgGzPWqk&amp;t=125"">02:05</a> 개킹받네",66,2024-06-10T12:29:25Z
@wolf1004roy,와…..저분들 부럽다🫢😆,28,2024-06-10T11:59:56Z
@난걍도른자,진짜 아이돌 같아서 개열받네ㅋㅋㅋㅋ,546,2024-06-10T11:37:22Z
@user-go7pb1jq8w,혼인신고서 어쩔 ㅋㅋㅋㅋㅋㅋㅋ,40,2024-06-10T11:18:03Z
@user-go7pb1jq8w,이런 생선을 진작만났더라면 ㅎㅎㅎ,24,2024-06-10T11:15:56Z
@user-go7pb1jq8w,개좋아~❤❤❤,19,2024-06-10T11:15:24Z
