Author,Comment,Likes,Published At
@play-channelA,"채널A 📖요즘 공부 일타 비법📖 참가자를 모집합니다<br>사연 접수 👉 <a href=""https://litt.ly/iltastudy"">https://litt.ly/iltastudy</a><br><br>모집 기간 : 2023년 7월 28일부터<br>모집 대상 : 중학생 or 고등학생<br>모집 요건 : 공부는 하고 싶지만 의욕이 없는 학생<br>아무리 공부해도 성적이 오르지 않는 학생<br>2학기 성적을 빠르게 올리고 싶은 학생<br><br>기타 문의는 메일 iltastudy@<a href=""http://naver.com/"">naver.com</a> / 인스타그램 @iltastudy",5,2023-07-28T00:10:42Z
@bunyojojuljalhey,30대 중반 애아빠인데 요즘 정승제 선생님 강의 보고나서 다시 수학공부가 하고싶어지네요... <br>혼자서 수능 수학 슥슥 풀고 맞출 때<br>그 희열이 아직도 생생합니다 ㅋㅋㅋㅋ<br>취미로 고등수학이나 해볼까요 진짜 ㅋㅋㅋ,0,2024-08-15T11:30:08Z
@user-rq6es7xo8n,여중학교에  다니는  딸이 중3학년에  재학중 입니다<br>학업  성적은  중상위권에  있으나  공부하는  방법을  몰라  아쉬워하고  있으며  학원은  다니고  있으나  딱히  성적이  상위권으로  가지를  못하고  있어서  공부하는  비법을  배우고 싶어하며  학생이  고민이  많아 해결을  원합니다<br>도와  주시면  감사  하겠습니다,0,2024-07-05T08:36:48Z
@queeeeeeeen,제 gpa는 어떻게 안 될까요,0,2024-01-22T11:23:52Z
@Qwerty-ub6wf,완포자를 위한 중등수학 어디서 구하나요 ㅠㅠ,0,2024-01-07T02:11:42Z
@뚱보엄마,이 댓글을 선생님께서 읽으실까요 저는 초등6학년 내년 중학생이 되는 아들 엄마예요. 이제 좀 많이 복잡해지고 어려워지는 공부 앞에 아이를 어떻게 도와줘야하나 고민이 많습니다.남편은 왕년에 수학을 잘했나봅니다. 아이를 가르칠때 하도 다그쳐 기죽고 자존감 낮아지는 아들이 힘들어보여 5학년 여름방학부터 수학학원에 다니고 6학년 2학기부터 중등선행 6학년 복습 하고 있어요 중등과정 처음부터 많이 어려워하네요<br>아빠는 현행도 힘든 애를 선행하는건 아니다.4.5.6 학년 개념도 확실히 안되어있다. 다시 해야한다. 아이에게도 못하면 다시 복습하는거라고 아래 학년꺼한다고 쪽팔리고 그러는거 아니라고 하고<br>선생님 수학 고등 수능까지 지치지않고 잘해나갈수있게 조언 좀 주세요,1,2023-12-15T14:11:48Z
@user-rm8br5jq4w,정승제 샘은<br>인상도. 좋고<br>웃음도 너무 좋고<br>하여튼 참 좋아.<br>특히. 웃는 모습,1,2023-11-14T00:47:32Z
@user-sj8jo8ei8h,응 7등급 맞고 헝즈몽 의대가서 의사하면 그만이야~~의사되기 너무쉬워,2,2023-09-19T14:32:55Z
@user-tl5we7ho3j,"공부의 핵심은 반복하여 눈에 익힌 다음에 얼개를 잡는 겁니다. <br>그리고 그것에 가장 적합한 방법이 Time to Performance 입니다. <br>그래서 의대생들이 암기는 제일 뒤로 하고 맨 처음 하는게 기출문제부터 푸는 거고요. <br>간단한 예를 들어 일본어를 정복하고자 한다면 학원에 가는 게 아니라 먼저 JLPT 기출단어장 3000 단어장 책 사서 정독으로 10번 빠르게 반복해서 보는 겁니다.<br>열한 번째 부터 아는 단어는 젖히고 모르는 단어만 체크해서 3000 단어를 마스터 할 때까지 줄여나가는 겁니다. <br>그리고 그 다음에 하는 게 두꺼운 JLPT 1급 문제집을 사서 오답 문항지문은 읽지도 않으면서 빼고 정답 문항지문만 정독하면서 정답지문 전체를 아예 노랑 형광펜으로 마킹합니다. <br>그리고 답안지는 버립니다. <br>그렇게 마킹한 상태 그대로  JLPT 1급 문제집 전체를 정독으로 문제와 답만 3번 가볍게 훑어봅니다. <br>그다음 모든 문항 지문들을 노랑 형광펜으로 정독하면서 전체 마킹 뒤 이제는 분홍형광펜으로 번호만 점 찍어 문제 푸는 형식으로 책 한 장 문제를 다 풉니다. <br>분홍형광펜으로 전체 채점하여 맞는 것은 동그라미 틀린 것은 선 긋습니다. <br><br>※ 단 찍어서 맞힌 것은 맞아도 틀림으로 표시합니다.//<br>다시 틀린 문제만 정독하면서 정답 오답 구분 없이 분홍형광펜으로 문제 번호들 전체 마킹, 그리고 재차 녹색 형광펜으로 분홍형광펜이 틀렸다는 것만 푸는데 이번에는 녹색 형광펜으로 번호만 점 찍어 문제 풀고 녹색 형광펜으로 전체 채점하여 맞는 것은 동그라미 틀린 것은 선 긋습니다. <br><br>여기까지 하면 책 한 권을 한꺼번에 두 번 훏어보는 건데.<br>위와 같은 방법으로 이번에는 파랑 형광펜으로 세 번, 책 한 권 전체를 한꺼번에 훏어 봅니다.<br><br>그리고 여기서 틀린 문제는 더는 풀지 말고 틀린 문제 바로 하단의 공백 부분에 서술형 문장으로 바꿉니다. <br>그런데 빈칸 채울 문장이 길다 싶으면 자릅니다. 문장이 길다 싶으면 “비타민 D는 (   ) 과 (  ) 의 흡수촉진, (  ) 의 정상적인 발육에 관여한다. 그리고 결핍 시, ( 구루병 )병, ( 골연화 )증, ( 골다공 )증이 생긴다.”<br><br>이렇게 윗부분만 빈칸 채우기 만들고 아래 빈칸 채우기는 답을 적어 보입니다. <br>이런 식으로 책 전체를 가볍게 정독하면서 10번을 봅니다.<br><br>다음에는<br> “비타민 D는 ( 칼슘 ) 과 ( 인 ) 의 흡수촉진, ( 뼈 ) 의 정상적인 발육에 관여한다. 그리고 결핍 시, (    )병, (     )증, (     )증이 생긴다.”<br><br>이렇게 아랫부분만 빈칸 채우기 만들고 위 빈칸 채우기는 답을 적어 보입니다.<br>이것 또한 위와 같은 식으로 책 전체를 가볍게 정독하면서 10번을 봅니다.<br>복잡한 문장이나 수식은 한꺼번에 빈칸 채우기를 하지 말고 될 수 있으면 따로따로 분리해서 간단하게 만들어 서로를 부분으로 만든 다음 채워 넣기를 합니다.<br> <br>10번 반복 이후에도 빈칸에 답을 못 적으면 두꺼운 책의 틀린 문제 부분에 인덱스를 달아 문제 번호를 쓰고 다른 건 보지 않고 인덱스 단 부분만 들춰서 맞춘 건 인덱스를 뜯고 틀린 건 인덱스를 붙여 둔 채 마지막 한 문제라도 다 빈칸 채우기를 할 수 있을 때까지 무한반복 합니다.<br><br><br>여기까지 오면 대략 얼개가 잡힙니다. <br>그리고 마지막으로 JLPT 1급 실전 모의고사 문제집 ( 5회분 ) 사서 앞에 서술한 방법 그대로 하면 됩니다. <br><br><br>그리고 그 다음에 중요한 게 몰입과 집중입니다. <br>하루의 목표를 세울 때 “3시간 하고 30분 쉬자”가 아닙니다. “아침 9시부터 저녁 10시까지 책 한 권을 훏어보자” 입니다.<br><br>이렇게 온종일 몰입과 집중이 이루어지고 그 다음 날에 무조건 쉬는 겁니다.<br>쉬는데 그냥 집에서 어슬렁거리지 말고 오전에는 한강 자전거도로 가서 한 시간가량 자전거 타고 저녁에는 복싱장 이나 격투기장 가서 2시간 죽어라 운동하는 겁니다.<br><br>하루 공부하고 하루 쉬는 걸 반복합니다. 공부를 농구 처럼 하는 거지 마라톤 처럼 하지 말라는 겁니다.<br><br>마지막으로 빠르기와 즐거움입니다. <br>공부는 암기가 아닙니다. 공부는 반복입니다.<br><br>“공부는 암기다” 라고 생각하는 그 순간부터 고통이 시작됩니다.<br> 앞서 언급 했듯이 우리가 농구를 할 때는 늘 긴장하게 되지요. 왜냐하면, 공격이든 수비이든 간에 앞 사람을 뚫던지 막아야지요. 근데 따분해하지 않습니다. <br>워낙 일이 매우 급하게 돌아가기 때문에 자신에게 주어진 일에 몰두하게 되어 있습니다. <br><br>위에 설명을 보면 암기하라는 말은 없습니다. 가능하면 빨리빨리 문제를 풀라고 합니다. <br>그리고 반복하라고 합니다. 문제를 풀면서 이벤트가 일어나고 그 문제에 대해 채점을 하면서 피드백이 이루어집니다.<br> 빠르게 문제를 풀거나 반복하면서 지루한 틈을 주지 말라는 겁니다. <br><br><br>아기가 부모에게 아빠, 엄마라고 부를 때 보통 아기는 부모에게 아빠, 엄마라는 말을 최소한 100번 이상 듣는다고 합니다. <br>어느 날 아기가 부모에게 “아빠, 엄마” 라고 듣고 머릿속에 외워서 내뱉는 말이 아니라는 겁니다. <br>끊임없이 반복하여 뇌에 각인시킨 후에 그제야 아기는 “아빠, 엄마” 라는 말을 합니다. <br>공부 또한 그러합니다. 공부는 익히는 거지 암기가 아닙니다.<br><br><br>맨 처음 공부할 때 정독도 지겹다. 그러면 속독부터 하세요. 그리 한 5번 속독하고 정독하면 눈에 익은 내용이 있어 머릿속에 잘 들어옵니다. <br>이처럼 “속독 -&gt; 정독 -&gt; 반복 -&gt; 문제풀이 -&gt; 틀린문제 풀기 -&gt; 반복 -&gt; 빈칸 채워넣기 -&gt; 반복”  의 과정을 되풀이하면서 공부해야지 공부할 때도 고통을 느끼지 않고 즐겁게 공부할 수 있습니다.<br><br><br>거듭 말하지만, 공부를 꾸준히 이어가게 지탱하는 힘은 재미입니다. <br>그리고 재미를 북돋기 위해서는 최대치로 하루에 책 한 권을 훏어 보는 목표가 있어야 합니다. <br>그러나 분량이 많다 치면 책 한 권을 나누어 1/4 또는 최소한 1/8로 겨우 감내할 수 있는 분량을 목표로 삼아야 합니다. 그래야지 시간에 쫓겨 몰입할 수 있습니다. 그런데 몰입만 한다고 공부를 계속 이어가기는 힘들지요. <br>문제를 계속 풀어야 하는 이유는 문제를 푸는 동안에 틀리면 피드백이 생기고 맞으면 쾌감이 들기 때문입니다. <br>결국, 주어진 시간 내에 작업을 끝내야 한다는 몰입과 계속 맞닥뜨리는 문제, 그리고 그 문제를 풀면서 생기는 피드백과 쾌감이 공부를 끝까지 이어나가게 되는 마중물이 됩니다.",13,2023-08-04T16:05:59Z
@user-je5wq3ta,학력도 공개못하는일타강사? 사기꾼이지....면허증 없이 의료행위 하는거랑 뭐가다른지,0,2023-08-03T12:32:39Z
@msgreenhill000,아무나 정승제 처럼 될 수 없고... 수능은 어려운 것 이다..,1,2023-08-02T01:15:37Z
@Slow_Love,20대도...지원하게 해주세요,17,2023-07-31T14:39:32Z
@user-ls3mv1um3k,1빠,0,2023-07-27T15:47:37Z
