Author,Comment,Likes,Published At
@미미미누,1시간 자고 면접장 도착했습니다. 죄송합니다.,15920,2024-06-19T10:49:46Z
@티케빛정원,티브에서 배웠어요.<br>처음에요. 이렇게<br>스스로 공부하는 법을 알게 되니 완전 행운에요.,0,2024-09-12T03:21:21Z
@HY-ss4kk,ㅋㅌㅌㅌㅋㅋㅌㅌㅋ아 너무웃기고 좋아요,0,2024-09-11T16:19:18Z
@user-cv2tc9sd6k,예능이인데 전현무를 왜 까대나 이사람들아 ㅜㅜ 지금 분위기살려주는건데,0,2024-09-11T16:07:11Z
@user-yd1ly4zm5f,미미미누가 제일 좋음,0,2024-09-11T08:47:18Z
@R3maeko,ㅈㄴ웃기네 ㅋㅋㅋㅋㅋㅋ,0,2024-09-11T06:02:23Z
@rr_33388,근데 티처스분들 다 자격지심이 있으신가여??? 한마디한마디 너무 다 태클 걸구 ㅋㅋㅋㅋㅋ 보는내내 불편쓰 ㅠㅠ 미미미누 노무 갈구신다....😂😂😂😂,0,2024-09-11T02:06:20Z
@mi6040,면접이라며 너너 거리는 전현무,0,2024-09-11T00:10:38Z
@user-ux5ms1nt7s,미미미누좋은분같아요~~~~~,0,2024-09-10T15:47:33Z
@user-yc2xr3ih3q,즐기다 오십쇼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-09-10T15:20:21Z
@gx2an,😢-,0,2024-09-10T11:00:54Z
@BestNo1Ace,"티 : 비를 맨날 보니 저의<br><br>처 : 신을 잘못하여 성적이 바닥을 치고 있었으나<br><br>스 : 스타 강사님을 뵈고 제대로 된 공부를 하고 싶습니다.",0,2024-09-10T00:55:55Z
@da_on_air,미미미누 화이팅🎉🎉🎉🎉,0,2024-09-09T22:39:41Z
@user-mc6kp9ii6z,전현무 싸가지없노,0,2024-09-09T14:15:22Z
@소은-b5f,살 색이 ㄹㅇ 감자색이네…,0,2024-09-09T13:29:14Z
@user-dr6dr7xr8j,전현무는 왜 나오는지모르겠음<br>보기도싫음,0,2024-09-09T13:25:53Z
@heartpuppy,"<a href=""https://www.youtube.com/watch?v=7i7n57ga4do&amp;t=385"">6:25</a>",0,2024-09-09T13:22:42Z
@user-fi1pk4ms3w,정승제쌤 빼고 다 다큐인줄,0,2024-09-09T13:09:31Z
@user-ir7kj2wo6w,ㅋㅋㅋㅋ 잼있당,0,2024-09-09T02:18:56Z
@jenbae2815,전현무 밉상,2,2024-09-08T15:02:15Z
@simsimsim7209,저렇게 해주는게 미미미누가 웃길 수 있는 판을 깔아주는거임..ㅋㅋㅋ 다들 불편해하지 마세요 ㅋㅋㅋ,2,2024-09-08T13:35:59Z
@user-ep6fp8og1k,"전현무 자꾸 말 끝 마다 반박하는거 개 꼴뵈기 싫음 승제t빼고 다 진지해 보여서 별로,..",1,2024-09-08T11:37:09Z
@user-ep6fp8og1k,미미미누나 없으면 솔까 안 봄 ㅈㄴ 심하게 말하네 전현무 보다 미3누가 낫지,0,2024-09-08T11:34:41Z
