Author,Comment,Likes,Published At
@kyuhyun1106,무조건 만들어줄거 같이 생기긴 함...일타인데..,0,2024-02-04T04:47:00Z
@user-sv2ig1er7d,조정식쌤 존잘,2,2024-01-13T09:30:00Z
@kiddo0622,조정식쌤 잘생기고 멋지고 잘가르치고 똑부러지고 😊,13,2023-11-28T11:46:26Z
@msgreenhill000,잘생긴게장점,15,2023-11-14T01:27:57Z
@user-xm5pe9bm4u,진심 사교육 때문에 나라 출산율이 이모양임 우리나라말고 사교육 이렇게 판치는 나라없다,10,2023-11-09T12:28:13Z
@user-cr8zy8iq5f,단순히 학원이 아닌 교재연구 강의 컨텐츠 제작 학생들이 뭘 어려워하는지 맞춤형 수업 강의 이런건 김기훈 로즈리때 부터였지 잰 2세대고,0,2023-11-09T08:42:00Z
@TV-fh2wc,아웅 이제 봤어요 또 뽑아주세요!!!!!!,7,2023-11-05T10:40:32Z
@user-rr5yv2um7r,누구나 서울대 가는데 왜 선생님은 못가셨나요?😊,7,2023-10-24T08:38:29Z
@user-ue8lg1bn2x,정식쌤 점점 보면 도티 닮았어요,75,2023-10-13T12:15:34Z
@user-sj8jo8ei8h,응~~7등급이어도 헝가리 의대가서 리턴하면 그만이야 의사되기 너무쉬워,11,2023-09-12T13:12:15Z
