Author,Comment,Likes,Published At
@user-jo3gt5mv4r,정승제선생님이랑조정식선생님 실처로 보고싶어요,0,2024-02-02T20:19:48Z
@Anna-ql1ez,30이 넘었는데 정승제쌤께 배웠던 기억이 납니다^^,2,2024-02-02T12:57:48Z
@saint_DDatG,여기 달린 댓글들을 보면 다른 영상에서 댓글을 달 수 없는 이유를 알 수 있다,2,2024-01-28T18:20:44Z
@행복전기,두분 보기 너무 좋다.. 취향은 반대이신 분들인데 목적은 같은 분들이니,45,2024-01-10T15:31:46Z
@HALAMADRID-w2t,하.. 진짜 우리나라교육문화 정말 이해가안간다.. 당장 이 프로그램자체부터 맘에안듬 자 봐바 대학이 목표라고치자? 그러면 꿈은뭔데? 왜 ㅅㅂ 항상 대학교만보고 진로는 선택을안하는데? 대학교가서 진로정한다고? ㅈㄹ염병떨지마라 sky대학나왔다고 돈 잘벌수있다고?? 다 개 헛소리다 결국에는 대학이 다가아니라 꿈을 향해 뛰는자가 인생에 승자라는거다 이 프로그램은 걍 대학교를 좋은대로 보내기위한 프로그램이잖아 내신성적좋으면 뭐할건데?? 제발 이딴프로그램만들시간에 새로운 예능 ㅈㄴ재밌는걸 하나만들던가해라 제작진들아,0,2023-12-23T05:04:04Z
@ganadara9900,두분 너무 멋있어요😢😢😢😢,10,2023-12-13T11:53:13Z
@user-ym8qb1fu3n,택도 없다??<br>턱도 없다겠지..<br>수준 참,0,2023-11-29T00:23:43Z
@mainbasic09,"4회 학생 전교22등을 왜 받아준거죠...?<br>공부방법을 모르는, 정말 꼴찌들을 올려주지ㅜㅜ<br>이미 잘하는 학생들이나 1회나 4회는 매스컴타고싶어서 나온것같은 ㅠㅠ<br><br>4회 전교회장친구는 꿈이 스타강사라는데 그래서 미리 방송을 탄것 같네요...<br>풀줄 모르거나 이론을 모르는게 아니라서 수학시험끝나고 집에서 혼자 스스로 다 풀었고<br>영어는 심지어 45분 시험에 25분 남기고 풀고 100점",29,2023-11-26T11:08:09Z
@lianskcud,댓글창 좀 닫아주시겠어요?,5,2023-11-24T16:09:30Z
@mainbasic09,"외고생 아빠는   배우자에게 빈정대고 비꼬고,  상대방과 대화할때  인정과 칭찬을 전혀 안해주고,  애가 우울증걸리겠다<br>기준도 너무 주관적이고 지나치게 높고<br><br>아들이 자살해야 정신 차릴겁니까?<br>한마디도 수긍을 수용을 안하시네<br><br>금쪽이에 나오셔야될건 아빠시네<br>오은영이 보면 기겁할 아버지임",39,2023-11-19T11:35:04Z
@mainbasic09,근데 1회에 첫학생(연습생출신)은 성적이 그리  낮지않던데<br>현직 학교서 일하고 있는 사람인데<br>기초가 아예 없다면서 영어수학이 아무리 찍어도 60점이상 못맞는데<br><br>50점 미만의 성적인 학생들을 데리고 하지...<br>국립고등학교서 일하는데 학생들 30점대 학생들도 엄청 흔함,19,2023-11-19T08:10:58Z
@user-yc4um9jn4u,난 학원 강사한지 8년만에 번아웃 와서 우울증 걸리기 일보직전인데.. 1타들 진짜 저 열정 부럽네요 ㅠ,112,2023-11-17T08:25:06Z
@user-cr8zy8iq5f,이게 왠지 미미누누 헬스터디 따라한것같네 시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10,2023-11-08T13:35:18Z
@user-cr8zy8iq5f,메가 1세대 전설 김기훈 로즈리 2세대 조정식T,1,2023-11-08T13:34:40Z
@user-it6ml9hh9d,정승제 강의 완강 안하고 이런거 하노,15,2023-09-26T14:52:52Z
@user-sj8jo8ei8h,"응 7등급이어도 헝가리,우즈벡의대가서 리턴하면 그만이야~~~의사되기 너무 쉬워 ㅎㅎ",8,2023-09-14T20:36:26Z
@dl.xxx0,와 정식쌤 이걸 하시네ㅋㅋㅋㅋㅋ 지금 하시는 일만 해도 벅차실텐데..ㄷㄷ,356,2023-09-12T14:00:11Z
@CSOBANSU,조합 신선하다,40,2023-09-09T15:29:08Z
@science_school_2011,예비중1  자극 받고 갑니다.,33,2023-09-08T11:26:19Z
@seoman8033,이야 ㅋㅋ 런메 조정식쌤 쉽지 않은데 ㅋㅋㅋㅋ 근데 배울점은 아주 많음,114,2023-09-01T05:19:45Z
@bio2802,정승제는 왜 본인 학벌 얘기 안함?,42,2023-08-29T07:55:44Z
