Author,Comment,Likes,Published At
@user-np5hy5of6b,나이스 ❤❤,0,2024-09-11T10:13:52Z
@2young553,"<a href=""https://www.youtube.com/watch?v=ZbWMEA1SOmI&amp;t=159"">2:39</a> 미미미누 잘한다~ 역시 트렌드 잘해",0,2024-09-11T03:34:45Z
@kong-k9bv,진짜 셋 케미가 너무 귀여움ㅋㅋㅋㅠㅜㅜ 디져스 더 내놔ㅠㅠㅜㅜ,2,2024-09-10T14:52:39Z
@user-ep6fp8og1k,"미미미누나 진짜 예능캐ㅋㅋㅋㅋ 미<a href=""http://www.youtube.com/results?search_query=%23%EB%88%84"">#누</a> 덕분에 재밌게 본다",0,2024-09-10T13:20:01Z
@Corrie5,6빠❤,0,2024-09-10T12:26:49Z
@avadakadabraYEET,다들 비슷한 생각이네 ㅋㅋㅋ 이거 찍을때 편집없이 걍 길게 쌉소리 다 올려주세요 ㅋㅋㅋㅋ 너무 잼있어,4,2024-09-10T12:09:18Z
@seongeunkim315,디져스 완전 재밌어용 ㅎㅎㅎ,0,2024-09-10T11:59:01Z
@wjdjdjtk,"<a href=""https://www.youtube.com/watch?v=ZbWMEA1SOmI&amp;t=60"">1:00</a> 사내(둘이)연애",4,2024-09-10T10:56:48Z
@phhbkko,ㅋㅋ키ㅣ키킼ㅋㅋ,0,2024-09-10T10:44:31Z
@user-yd4cq6vh3p,승제 배방구 마려우면 개추,0,2024-09-10T09:46:07Z
@SKKim-zl8gr,이제 춤 언제 올라오나여 궁금하네요 ㅋㅋㅋㅋㅋ,0,2024-09-09T22:59:48Z
@LevyisGOD,이런거 보면 미미미누 섭외 잘했네 ㅋㅋㅋㅋ 미3누가 트렌드나 춤 선정같은 조율을 잘 해준다,2,2024-09-09T18:17:38Z
@soomile_11,승제쌤 리얼 비상사태….🚨,8,2024-09-09T15:22:58Z
@Tuuwoop._.,승재쌤 오늘 옷 컨셉이 계란 지단 인건가요?ㅋㅋㅋ,2,2024-09-09T14:33:37Z
@winter101,"아니 저 티라미수케이크 당첨됐는데 이름 잘못보내서 안와요,,, dp를 dP로 적어버림…. 인증가능함다",0,2024-09-09T13:47:52Z
@twilightdusty,👇못말리는 생선님 원하면,3,2024-09-09T12:29:12Z
@monours,정식샘 과한 디올같은 옷보다 흰 티가 왜케 젊어보이고 멋지심..,1,2024-09-09T12:04:54Z
@user-tm3xq4hn4z,양양 토박인데 왜 하필 못본거지ㅠㅠㅠ 봤으면 바로 제보하는건데에,0,2024-09-09T12:00:19Z
@user-wd2vy1vu8x,너무잼있어요.세분조합.굿굿😊,2,2024-09-09T11:53:47Z
@yenalice0227,아니 ㄹㅇ 요즘에 나 리즘이땜에 이머전시에 빠졌었는데 겨우 빠져나왔는데... 승제쌤이 해버리시면......;;;^^,2,2024-09-09T10:59:30Z
@0L7O2V6E-um7hm,&#39;티쳐스 감 다 디져스&#39; 코너 만들어서<br>티쳐스 개선방향 피드백하고 논의하는것도 올려주면 안되나<br>요즘 티쳐스 패턴도 같고 리액션도 점점 억지스러운게 좀 보이는 사람들이 있어서<br>좀 아쉽,3,2024-09-09T09:57:15Z
@user-du8fx2zf1n,정승제 둥지 많이 검색해주세요❤❤,0,2024-09-09T09:54:06Z
