Author,Comment,Likes,Published At
@sladys6636,솔직히 나도 꼴등은 아니었지만 중간에 감사하다고 운 학생마냥 난 노력했는데 성적이 안나온 애중에 하나였음 그러다 부모님한테 넌 뭘해도 안돼는놈이야 얘기듣고 그때부터 공부를 포기 하기 시작했었음 근데 부모님은 나한테 그런 얘기해놓고 새벽에 자다말고 자고있는 날 깨워서까지 공부시키고 그러니 머리에 들어가겠냐고 안들어가지 하기도 싫어지고 그랬던 나에게 이런 프로그램이 이런 쌤들이 나한테 너가 먼저 포기하지 않는 이상 내가 널 절대 먼저 포기하는 일은 없어 그러니까 날 믿고 따라와줘 내가 하라는 대로만 하면 돼 라고 말해줬다면 나도 저렇게 울고 평생 그쌤을 은인으로 모실것같다 당장에 고1때 담임쌤이 나한테 저런 잘 가르치는 능력있는 쌤은 아니었지만서도 내가 항상 긍정적인 모습 보이고 애들이랑 친하게 지내려고 하고 괴롭힘을 당해 힘들어할때 &#39;ㅇㅇ아 교무실에서 쉬는시간에 공부하다 가도 돼 쌤이 말 해놓을테니까 와서 공부하다 가 쌤이 옆에서 도와줄게&#39; 한마디 해준 그 담임쌤을 10년이 지난 지금도 기억하고 찾고싶어 하는데 저런 쌤이라면 안모실수가 없을듯,5,2023-11-24T14:47:43Z
@korea.84,보통 아이들로 이야기해씀 재미나지 꼭 아이돌출신 애기 사람들안테 텨볼라고 각 방송사들 창피한줄 알고 진행해라.,0,2023-11-06T08:09:08Z
@user-lf1jc7ob8s,애들 다 커서 대학 갔지만 생선님 보면 나도모르게 존경을 🎉🎉🎉,9,2023-11-04T06:47:18Z
@user-eh1lm7xw3t,하필 방송해도 5일에… 수능끝나고 방송해주시지… 2주 미루는게 그렇게 힘든가요ㅠ,12,2023-10-25T14:56:58Z
@hjn677,생선님 ❤,3,2023-10-15T06:25:53Z
@tobetobe1803,나를 포기 하지 않겠다고 말해주는 사람...너무 고맙고 감사하다..눈물이 난다...,53,2023-10-14T10:32:01Z
@user-tu1ns4oc9t,생선님 개멋있다 ㅠ,6,2023-10-13T23:53:00Z
@lolo___11,꼭봐야지,4,2023-10-13T15:51:31Z
@hs__l3e,많관부~~~,6,2023-10-13T12:44:03Z
@sjsj2812,정승제 선생님 채널 구독했어요❤❤❤우리아이는 다 컸지만 존경합니다 선생님~,19,2023-10-12T07:12:57Z
