Author,Comment,Likes,Published At
@user-oy7rk1us9x,". ..., . 죄삼다",1,2024-09-06T08:06:51Z
@정한영-n6q,재밌어서 한번더 보러 왔는데 시작하기전 광고에 정승제선생님 등장..ㅋㅋ,1,2024-07-31T01:51:48Z
@floyd_floyd,수능 정말 아무것도 아니다...라고 말하고싶은데<br>정말 그렇지 않다.<br><br>끝까지 후회로 남더라<br>그게 수능을 못친 그 사실이 화가 나는게 아니라<br>그간 공부를 소홀히한 그 세월에 화가나는거라서<br><br>인생엔 정말 수 많은 길이있고<br>그걸 찾아갈 능력만 있다면<br>수능그거 아무것도 아니다...라고 말할수있는데<br>사실 따지고 보면 그런사람들이 많지 않다.<br><br>수능이 인생의 시작이 아니라 인생의 한계를 정하는 시험이라고 본다면<br>그 한계로 가는 그 길말고<br>또 다른 자기의 길을 만든다면....<br>내가 그어논 그 한계점에서 후회하는 내가 아니라<br>또 다른 길에서 그 한계보다 훨씬더 앞으로 나아간 나를 볼수도 있을텐데<br>정말 그랬으면 좋겠다.,0,2024-07-23T12:35:43Z
@user-ex2dj6vo5x,"<a href=""https://www.youtube.com/watch?v=e1S5SpWthWE&amp;t=75"">1:15</a> 와 정식쌤 ..... ㅎㄷㄷ",1,2024-07-09T04:43:44Z
@user-fn3cd2vx8r,수능도 안치는 나는 내일이 시험인데 이걸 왜 보고있을ㄲ,0,2024-07-01T15:54:39Z
@user-ic2mc5co6l,썸네일 표정 개킹받아 ㅋㅋ,0,2024-06-27T10:22:47Z
@MS.junseohyeon,정식쌤은완벽한t,0,2024-06-18T06:59:25Z
@zun-d6159,처음부분에 &#39;아~&#39; 소리나는거 뭐지?,0,2024-05-07T08:36:12Z
@G3We17,역시 정식‘T’,2,2024-02-28T03:08:49Z
@TV-kp4zs,수능 친 언니 오빠들 수고했어요!😊,5,2024-02-08T01:14:00Z
@kyuhyun1106,진짜 정식쌤 멘트는 수능이 끝난 지금도 인생의 모토가 된가 같아요  수능까지 같이 달렸더라면 대학 간판이 바뀌었겠죠? 그래도 후회는 안해요<br>진짜 참 선생님 조정식쌤  공부 하느라 힘들때마다<br>달리게 해준 선생님..사랑해요,1,2024-02-05T16:13:42Z
@user-yy5wt8xg8t,무섭다...벌써 2년후면 수능이란게....,1,2024-02-03T10:01:15Z
@user-gt7rh2oz2o,이제 조정식사생팬도 나온다.,6,2024-01-26T09:37:50Z
@중학생스터디중2,조정식 <del>teacher</del> T야?,1,2024-01-21T23:41:15Z
@user-lh6bl5ml1f,정식쌤 졵나 T ㅋㅋㅋㅋㅋㅋ,0,2024-01-18T02:05:17Z
@일하기싫어24,"조정식 쌤이 아빠이면 <br>&quot;아빠, 이번 영어 시험 망쳤어(F)&quot; 이러면 &quot;너가 공부 안 했으니 그렇지?(T)&quot; 이런 듯? ㅋㅋㅋㅋ<br>&quot;아빠, 이번 영어 시험에서 이부분에서 막혔어(T)&quot; 이러면 &quot;너의 약점이 여기에 있네. 다음에는 이 부분을 더 공부해자(T)&quot; 이런 듯? ㅋㅋㅋㅋ",3,2024-01-13T04:49:40Z
@boeul_17,아 승제쌤은 너무나 완벽한 F고<br>정식쌤은 너무나 완벽한 T여서 너무 웃기다 진짜..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9,2023-12-28T11:30:40Z
@lenakim5516,"개인적으로 정식쌤 같은 영어 선생님 있음 되게 좋을 것 같다, 정승제쌤도 좋긴 한데 너무 쎄시다는ㅋㅋ부담스러움ㅋㅋ<br>나도 쌤한테 할말 다 하고 쌤이랑 친하게 지냈을 것 같음,어쨌든 선생님 이라는 존재는 잘 가르치고 못가르치고를 떠나서 학생들이 좋아하면 되는것 같음",12,2023-12-19T07:19:14Z
@user-pl6pt2fl8r,끝나고 봤습니다 정식쌤ㅋㅋ,1,2023-12-18T06:59:28Z
