Author,Comment,Likes,Published At
@user-we6op7nd8s,근데 지금은 정식쌤만 티처스담당학생 100점 만듬ㅋㅋ,1,2024-09-09T11:35:44Z
@10_ah-s2h,너모 귀여우심ㅜㅜ,0,2024-09-01T09:31:06Z
@푸돌이곰,엘지 두산한테 스윕,1,2024-08-27T10:21:53Z
@daneqwr,"<a href=""https://www.youtube.com/watch?v=jv3oaNyEFhM&amp;t=69"">1:09</a> 아뭐야 왤케 귀여우심ㅋㄱㅋㄱㅋㄱㅋㄱㅋ",0,2024-08-25T15:55:15Z
@user-dd5xj2cf1n,두 분이 의외로 안 맞네 ㅋㅋ 뭔가 벽이 느껴진다 ㅋㅋㅋㅋ 더 웃겨 ㅋㅋ,0,2024-08-20T23:06:52Z
@user-xw7vc5jz1v,나만 스플래시 데미지에사 터졌낰ㅋㅋㅋㅋ,0,2024-08-17T14:57:14Z
@Lovelymememe,왜 귀엽누 ..... ㅋㅋㅋㅋㅋㅋㅋㅋㅋ😅,0,2024-08-13T09:39:19Z
@lazybird3056,조정식쌤 ㅋㅋㅋㅋ 아닠ㅋ 스플래시 데미지 뭐욬ㅋㅋㅋ 아 진짴ㅋㅋㅋㅋ,0,2024-08-12T15:18:06Z
@lizlong_2,"<a href=""https://www.youtube.com/watch?v=jv3oaNyEFhM&amp;t=278"">4:38</a> 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0,2024-08-10T14:12:47Z
@정승제불륜녀,"<a href=""https://www.youtube.com/watch?v=jv3oaNyEFhM&amp;t=70"">1:10</a> 녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..녜엥..",6,2024-08-09T11:12:40Z
@user-xd1xc2hn4y,제일 안맞을꺼 같은 두사람이 한 프레임에 있으니 웃긴거 ㅋㅋ,0,2024-07-31T09:47:48Z
@stryper444,"<a href=""https://www.youtube.com/watch?v=jv3oaNyEFhM&amp;t=119"">1:59</a> 맙소사 ㅋㅋㅋㅋㅋ",2,2024-07-28T04:51:20Z
@user-ji9zb5dh2x,"<a href=""https://www.youtube.com/watch?v=jv3oaNyEFhM&amp;t=107"">1:47</a> 실제로 됬습니다...",7,2024-07-28T03:04:06Z
@유코미,이 영상 광고로 승제쌤이...ㅋ,0,2024-07-27T01:02:27Z
@러시루,"<a href=""https://www.youtube.com/watch?v=jv3oaNyEFhM&amp;t=168"">2:48</a> 스플래시 데미지ㅋㅋㅋㅋㅋㅋㅋㅋ",0,2024-07-26T03:55:29Z
@user-xd1xc2hn4y,"<a href=""https://www.youtube.com/watch?v=jv3oaNyEFhM&amp;t=208"">3:28</a> 개꿀인데??",3,2024-07-24T04:39:43Z
