Author,Comment,Likes,Published At
@user-pr7zk5fw7h,와 한혜진쌤 너무 이쁘다,1,2024-08-04T14:45:01Z
@rui_03238,현무T왠지 끌린다..,0,2024-08-03T10:50:53Z
@user-dg8nr,"<a href=""https://www.youtube.com/watch?v=kMqqwqL-1bE&amp;t=205"">3:25</a>  지역마다 언어가 조금씩 다릅니다. 경상도 사투리, 충청도 사투리, 전라도 사투리 등등...",0,2024-07-30T11:12:15Z
@온유어마크,장영란님 강의 완전 꿀팁<br>강의 너무 잘하시는데요ㅋㅋㅋㅋ,2,2024-07-30T05:10:09Z
@redhawk3584,장연란 강의력이 너무 좋네요.,3,2024-07-26T03:46:36Z
@sio20403,장영란씨 너무 웃겨서 이 새벽에 키득키득 거렸어요. 너무 좋은 강의네요.,2,2024-07-24T19:11:44Z
@0d657,한혜진 뭔가 ebs 강사 같음 ㅋㅋㅋㅋㅋ 잘하신다,4,2024-07-24T16:20:40Z
@user-no2bu3ck6j,시마이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2024-07-23T17:50:50Z
@bsimpl,전무현쌤 은근히 잘가르치시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,2024-07-21T13:24:24Z
@user-mb2lu3lq7p,ㅋㅋㅋㅋㅋㅋ,0,2024-07-20T02:34:07Z
@vision84811,혜진누님 너무예쁘다 평생 강의만..,17,2024-07-19T07:18:38Z
@idlehann,"<a href=""https://www.youtube.com/watch?v=kMqqwqL-1bE&amp;t=9"">0:09</a> 아니 근데 듣기 다틀리는데 뒤에 맞는거 개웃기네 ㅜㅡㅋㅋㅋㅋ",0,2024-07-18T04:39:39Z
@user-ic7ei3fi2o,아ㅋㅋㅋㅋ썸넬 정법 이다지쌤이신줄 알았네,1,2024-07-16T14:15:13Z
@user-ii9fs2nz2k,안녕하세요! 장영란T 정법 수업듣고 이번 정치와법 25 6모 50점 맞았어요! 선생님의 여의도 정치만이 정치는 아니다 가스라이팅과 그그그 풀이 스킬을 통해서 50점을 받을수있었습니다! 제주감귤대학교 합격할수있을거같아요 ㅠㅠㅠㅠ 감사합니다,32,2024-07-13T16:42:50Z
@user-tn9co4el4o,전현무T:단어는 외우기 쉽게 쉽게 외운다<br>한혜진T:걍 면접 볼때 주의사항⚠️<br>장영란T:정법이라길래 봤는데 걍 도덕수업ㅋㅋ,6,2024-07-10T16:38:29Z
@user-tx7ue4el7o,이모 털...,0,2024-07-10T09:46:48Z
@user-wc5ye7wz8k,아 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 개좋아,2,2024-07-09T05:12:16Z
@ink____,"<a href=""https://www.youtube.com/watch?v=kMqqwqL-1bE&amp;t=211"">3:31</a> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",6,2024-07-05T14:13:02Z
@user-sangTV,날려라~ 키움의 송성문 승리의 문을 열자 랄랄라 ~ 날려라~ 키움의 송성문 승리의 문을 열자 송성문!,0,2024-07-04T14:41:19Z
@user-co7oc6lz7k,가재맨 저챗브금이면 개추 ㅋㅋㅋㅋㅋㅋ,3,2024-07-01T06:08:46Z
@작곡의수,오늘(6월 30일) 티쳐스 볼려면 TV몇번 틀어야 하나요?,2,2024-06-30T05:05:50Z
@WB-zg7wi,한혜진만 보고 순간 윤혜정인줄 알았누 ㅋㅋㅋㅋ 찐인줄 알았네,12,2024-06-29T14:48:56Z
@I.m_so_sorry_but_i_love_u,한혜진님 약간 윤혜정 느낌 나는데 ㅋㅋ,20,2024-06-29T13:44:28Z
@user-ln2iu5nv4c,한혜진씨 존예,7,2024-06-29T11:27:42Z
@user-rl1tv2ps9k,낚였다.....,0,2024-06-28T12:45:42Z
@user-we1fh7ff4l,무무쌤 저 영어 3개 외웠어요 ㅋㅋㅋ<br>다음강의 기대할께요❤,20,2024-06-27T08:34:19Z
@lilillilllilil,디아블로 이모털 ㅋㅋㅋㅋ,0,2024-06-26T13:52:58Z
@wydudhdu5024,시마이 ㅋㅋㅋㅋㅋㅋㅋ,3,2024-06-26T09:26:33Z
@user-lq6ss8nn7i,이모털 ㄹㅇ 기억에 잘남네,12,2024-06-26T07:58:21Z
@pianogirl_0812,무무쌤 ㅋㅋㅋㅋㅋ 씹ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-06-26T03:55:42Z
@springlee3467,이모털이 죽지않는대 ㅋㅋㅋ말이야방구야 ㅋㅋㅋ,0,2024-06-25T15:02:30Z
@user-cp9tc3tb9p,무엇보다도 중간중간 주인공의 맥없는 목소리가 개웃긴데 ㅋㅋ,4,2024-06-25T14:35:27Z
@albbanoo3,제작진 바꼇나 더 재밋어진듯,12,2024-06-25T13:14:58Z
@user-cz6mn2tv3z,티처스이게 맞나?,0,2024-06-25T12:28:35Z
@user-tw8dc5tl2e,국어쌤 ㅋㅋㅋ 자기가 준비한것도 아니고 ㅋㅋㅋ 뭐야,2,2024-06-25T11:59:42Z
@user-tw8dc5tl2e,전현무 야 독해나 끊는거얔ㅋㅋ,0,2024-06-25T11:58:32Z
@user-tw8dc5tl2e,딱 전현무가 선생 폼 잡는거,0,2024-06-25T11:57:23Z
@user-tw8dc5tl2e,에이 뭔 전현무가ㅜㅋㅋㅋ 영어겅사,0,2024-06-25T11:56:28Z
@user-zl5dh8qb3l,순공시간 +6분,3,2024-06-25T11:47:32Z
@user-pe6ns3sx3l,단어 진짜 생각 좋은듯 ㅋㅋㅋ,0,2024-06-25T11:19:26Z
@blooming122,ㅋㅋㅋ,1,2024-06-25T09:45:45Z
@user-ex5pb4ex3l,이모털 ㅋㅋㅋㅋ,1,2024-06-25T05:54:53Z
@qwertyuop9722,영상 틀자마자 반응한 가붕이는 개추 ㅋㅋ,0,2024-06-25T03:41:18Z
@user-xn3io5ey5b,영단어 3개 복습 첫번째 솔직한 candid<br>두번째 불멸의 immtal<br>세번째 exactly 정확하게<br>영상 듣고 바로 쓰는데 ㄹㅇ 다 기억나네<br>ㅎㄷㄷ,13,2024-06-25T03:02:18Z
@user-ho9yd9ne6y,장영란씨  강사해도 되겄어요<br>현무씨는 이모털만 하루종일<br>생각나요 하나라도 건저갑니다~^^,23,2024-06-25T02:47:23Z
@jujuvvv5933,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ배쨌네요 ㅋㅋㅋㅋ 구렁이 ㅋㅋㅋㅋ,3,2024-06-25T00:23:50Z
@Asuskr,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2024-06-24T19:25:17Z
@iu9482,이모털은 죽지않앜ㅋㅋㅋ,4,2024-06-24T19:02:13Z
@ssibalxiaoxue,경선식 미만잡이면 개추ㅋㅋㅋ,8,2024-06-24T18:08:52Z
@user-jc8qu8wv1t,수학은 아무도 없는게 포인트 ㅋㅋㅋㅋㅋㅋㅋㅋ,136,2024-06-24T16:51:11Z
@sdurmeianm,ㅋㅋㅋㅋㅋㅋ진짜 기대된다ㅋㅋㅋ,5,2024-06-24T16:15:34Z
@song_537,국어쌤 시마이요...?ㅋㅋㅋㅋ,18,2024-06-24T16:00:37Z
@운이좋은사람,무현쌤 사랑해요😂😂,0,2024-06-24T15:03:05Z
@user-mv3dj9nu2n,빨리해줘ㅠ,3,2024-06-24T14:58:32Z
@user-lp7kx3sx1b,ㅋㅋㅋ 이게 뭡니까? 넘 웃기잖아요.. ㅋㅋ,34,2024-06-24T14:07:30Z
@user-pf6xx2wn7f,장영란T는 조정식T나 정승제F 옆에 앉혀주세요,55,2024-06-24T14:02:58Z
@deputy_director,경선식은 가라 무무가 온다 !!!,0,2024-06-24T13:59:28Z
@user-gd7kk3wr6l,티처스 댓글창 여니까 좋으면 개추 ㅋㅋ,340,2024-06-24T13:54:45Z
@liiliiilli,장영란T 강의력 너무 좋은데?ㅋㅋㅋㅋㅋㅋㅋ,348,2024-06-24T13:53:34Z
@1_ol01,자존심상하게 외워졌다 이모털..,11,2024-06-24T13:40:54Z
@user-on2os5kj9j,"<a href=""https://www.youtube.com/watch?v=kMqqwqL-1bE&amp;t=211"">3:31</a> ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",124,2024-06-24T13:31:03Z
@먹다남은피자,강민철선생님 그동안 감사했습니다,209,2024-06-24T13:24:14Z
@user-sg4go8to8r,괜찮아 어휘편보다 좋은거 같으면 개추,579,2024-06-24T13:05:25Z
@user-yn5tm2lo6n,이번 티처스 시즌2 기대된다,67,2024-06-24T12:43:36Z
@user-yn5tm2lo6n,내신 1주 남았는데 이거 보고있는게 맞는건가? 지금 당장 정식티티 모고 변형강의 들어야하는데 무무쌤이 발목을 잡아요..,109,2024-06-24T12:39:44Z
