Author,Comment,Likes,Published At
@stayleeknow325,아니<br>넘 귀여우신데 ㅠㅠ,0,2024-09-08T06:29:17Z
@점순이임,진짜 아이돌 강국 답네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-08-20T12:52:02Z
@user-xd1xc2hn4y,이제는 정승제 생선차례다 빨리 진행시켜어잇!!,0,2024-08-19T04:36:43Z
@mozzi100,나무슨 100먕넘게 있는줄알았다…..,0,2024-08-15T13:33:01Z
@user-sq6fi4im2r,"근데탑티어이긴함.. 친근해보이지만 고려대,개 씹 고연봉,수려한 외모,패션센스,사랑꾼... 다가진거아님?..",1,2024-08-13T14:34:05Z
@정승제불륜녀,하미친 최고다 최고 너무 잘생겼어 오열함,2,2024-08-13T11:12:44Z
@user-qr5324,아니 애들아 공부만하다 정신을 놔버린거여??왴ㅋㅋㅋㅋ재밋긴하닼ㅋㅋㅋㅋㅋㅋㅋ,0,2024-08-07T10:43:16Z
@user-pk7in2rh7p,아 정식쌤 손발 어뜨캄,0,2024-08-06T15:40:19Z
@user-pm4sf6uf8n,아 귀여워,3,2024-08-06T01:09:14Z
@user-skrrgirl,정식T 개사랑해ㅠㅜㅠㅠㅜㅜㅠㅠㅜ,10,2024-08-05T06:40:37Z
@user-cu7ns8mz6z,영어선생님계의 아이돌ㅋㅋ(정승제는 팬미팅 안함...?😮😮),1,2024-08-01T12:36:18Z
@user-ln4xs8qb4f,"<a href=""https://www.youtube.com/watch?v=zPi-ft5EAWM&amp;t=106"">1:46</a> ㅋㅋㅋㄱ 진짜로 즐기신듯",6,2024-07-28T13:57:17Z
@user-gv4pt9dt7z,ㅋㅋㅋㅋㅋㅋ해달라는거 다해주는거 겁나 다정하시넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2024-07-25T12:11:57Z
@리리TV,무슨 누구 보면 아이돌인줄,3,2024-07-21T05:40:39Z
@그르륵칵칵힛맨뵁,"<a href=""https://www.youtube.com/watch?v=zPi-ft5EAWM&amp;t=84"">1:24</a> <a href=""https://www.youtube.com/watch?v=zPi-ft5EAWM&amp;t=135"">2:15</a> 아닠ㅎㅎ콬ㅎㅋㅋㅋㅋㅋㅋ승제쌤이랑 공통으로 한 말이 다 &#39;미치겠다 진짜&#39; 임ㅋㅎㅋㅎㅎㅋㅎㅋㅋㅋㅋ",81,2024-07-16T23:05:26Z
@aespa1117love,정식쌤 포카 ㅋㅋㅋㅋㅋ 나도 갖고싶당ㅋㅋㅋㅋㅋ,1,2024-07-16T11:06:37Z
@초콜릿크림칩,"<a href=""https://www.youtube.com/watch?v=zPi-ft5EAWM&amp;t=80"">1:20</a> 이렇게 하는거에요? 이거에요?이거를 하는거에요?이게 맞아요? <br>ㄲㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ<br>진짜 모르겠는 질문..물음표폭탄 개웃기넼ㅋㅋㅋㅋㅋㅋ",9,2024-07-15T15:14:22Z
@user-ex2dj6vo5x,귀여워,2,2024-07-09T01:09:50Z
@Naeviss-mr6cv,뭐여..,1,2024-07-07T16:09:02Z
@eee-pe3kt,남학생들이 해주는것도 잼있겠다ㅋㅋㅋㅋㅋ,2,2024-07-06T23:34:55Z
@08jjprincess,사랑해요 정식 쌤❣️,6,2024-07-03T06:06:33Z
